"","fdis_areabasal_sp","feve_areabasal_sp","fdiv_areabasal_sp"
"F40P4",0.35382960844863,0.64552866352737,0.720857062583222
"F41P1",0.215317056079012,0.728649413910551,0.793568593377146
"F41P2",0.372480794346473,0.771888451191848,0.687439470755566
"F41P3",0.259287540849225,0.835625627310572,0.630312681536016
"F41P4",0.172065349031743,0.567751868701252,0.937846462594829
"F41P5",0.251166259848608,0.790069926710174,0.801236889910094
"F41P6",0.206569887357586,0.785706480202159,0.766270470496419
"F42P1",0.151094076784053,0.807941042028764,0.904103803651167
"F42P2",0.245797218279479,0.549188143404497,0.725635012839848
"F42P3",0.231998840469804,0.769724502084476,0.802512909378564
"F42P4",0.146125207174221,0.629154942218455,0.904916307528389
"F43P1",0.212756129334221,0.764920929105973,0.635367489574836
"F43P2",0.151811192968598,0.604650489119754,0.865885666672009
"F43P3",0.229724342119805,0.781337726935056,0.796538826365084
"F44P1",0.206641077142303,0.690906028745,0.862044209798087
"F44P2",0.282755971396914,0.813489325652393,0.619473536896576
"F44P3",0.208989457425143,0.654492295212998,0.900287983681784
"F44P4",0.302297127476899,0.628912156384544,0.629355943072241
"F45P1",0.209445840476,0.771658756373843,0.706791592206674
"F45P2",0.255939061271645,0.816076963425649,0.664375517650789
"F46P1",0.234665221932491,0.700916060495712,0.726337156022176
"F46P2",0.281639069461785,0.770127987314294,0.706810454192843
"F47P1",0.253204340696214,0.690715725263157,0.697890583599884
"F47P2",0.328281539270623,0.754180171338439,0.58402120522405
"F47P3",0.228595008612777,0.717058692094314,0.778281665315994
"F48P1",0.253439584288367,0.669256701241933,0.811530249879612
"F48P2",0.236636109985856,0.71648857337646,0.733837528885155
"F49P1",0.191679022828493,0.727870007867844,0.571722436937291
"F49P2",0.239618515334726,0.923145757384579,0.747062026124076
"F49P3",0.311075973477489,0.82780925607285,0.779701110379931
"F4P1",0.255264469244398,0.814808227480914,0.570648526155773
"F4P2",0.287579910699634,0.878299619454907,0.760389868841981
"F50P1",0.182679014280394,0.884980397373667,0.784982320842143
"F50P2",0.148051203782192,0.724132552688471,0.864423799278729
