plot,forest_type,longitude,latitude,cwm_af,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F50P2,P.macroloba,-84.0049931,10.6782238,1411368.904,11.07938776,431.0195918,0.486326531,21.79714286,0.981836735
F50P3,Q.paraensis,-84.001291,10.680545,1290453.918,10.19682927,443.5629268,0.55195122,20.49097561,0.85
F50P4,P.macroloba,-83.9983157,10.6781559,1187157.867,12.20454545,424.9193939,0.40969697,24.51151515,1.057878788
F51P1,Q.paraensis,-84.1176438,10.721962,1637883.478,11.43055556,429.395,0.496851852,21.42462963,0.987777778
F51P2,Q.paraensis,-84.1187313,10.7257107,1563511.588,10.22021739,421.3354348,0.511304348,20.00173913,0.947826087
F51P3,Q.paraensis,-84.1158291,10.728447,1642694.275,10.25135593,423.6364407,0.421525424,20.00610169,0.934067797
F52P1,Foothills,-84.0632124,10.3217756,290331.0938,15.64208333,369.70625,0.482083333,26.79291667,1.292083333
F52P2,Foothills,-84.060733,10.3265391,59998.10517,17.11689655,390.6906897,0.530344828,23.19758621,1.186896552
F52P3,Q.paraensis,-84.0592819,10.353147,1003793.841,12.4227907,428.457907,0.543488372,21.77232558,1.000465116
F52P4,Foothills,-84.0607413,10.3511647,1098933.557,13.13291667,394.0870833,0.409583333,24.52166667,1.198333333
F52P5,Q.paraensis,-84.0620738,10.3461831,974659.776,10.94475,436.019,0.59025,21.42525,0.9575
F52P6,Q.paraensis,-84.0627015,10.3433803,443105.8555,13.56103448,408.28,0.566896552,22.18965517,0.897931034
F52P7,Q.paraensis,-84.0564418,10.3544846,1171271.405,11.58117647,430.9670588,0.550294118,21.06558824,0.974117647
F53P1,Foothills,-83.97431,10.195508,1127885.113,12.48433333,394.4473333,0.432333333,22.06966667,1.143
F53P2,Foothills,-83.9771867,10.197071,1516293.797,11.28909091,425.7768182,0.464090909,20.96136364,1.067727273
F54P1,Foothills,-83.9857582,10.2071333,622951.3439,14.89826087,376.4991304,0.445217391,22.7326087,1.190434783
F54P2,Foothills,-83.9832377,10.2066237,623513.7452,13.5312,401.2328,0.428,20.0696,1.1328
F54P3,Foothills,-83.9939764,10.2115909,1111531.814,13.64291667,421.4545833,0.492083333,22.90541667,1.169166667
F54P4,Foothills,-83.9963882,10.2130948,1216074.276,12.2430303,422.5987879,0.535151515,22.94606061,1.076363636
F54P5,Foothills,-83.9733006,10.2134057,493815.46,15.32,409.57,0.514375,24.819375,1.018125
F54P6,Foothills,-83.9715099,10.2159234,792909.2024,13.99382353,387.9264706,0.439705882,22.67558824,1.112941176
F5P1,P.macroloba,-83.9686333,10.4559144,1208614.48,13.49235294,388.9255882,0.372352941,25.19352941,1.166764706
F5P2,P.macroloba,-83.9691055,10.4527851,1208940.696,13.58179487,398.2879487,0.451025641,23.24153846,1.074615385
F5P3,P.macroloba,-83.9695685,10.4496564,599907.5293,17.14413043,395.655,0.41326087,27.06130435,0.956304348
F6P1,P.macroloba,-83.9248804,10.209997,879652.6177,12.33516129,410.4483871,0.382580645,25.51967742,1.139354839
F6P2,P.macroloba,-83.9286443,10.2098284,977089.6588,13.470625,403.58,0.4309375,25.82375,1.1075
F6P3,P.macroloba,-83.9318257,10.2108022,719233.5687,12.95,416.406,0.430333333,25.25866667,1.073
F7P1,P.macroloba,-84.0804603,10.4423079,1351534.057,14.2702439,377.8478049,0.324390244,25.59829268,1.172682927
F7P2,P.macroloba,-84.0831522,10.4422512,1557337.681,12.85090909,396.5106818,0.3275,23.78409091,1.142954545
F8P1,P.macroloba,-84.1698641,10.5401782,1468695.474,11.53468085,416.4055319,0.357021277,22.80638298,1.047446809
F8P2,P.macroloba,-84.1697863,10.542715,883607.2524,11.84815789,428.0939474,0.421842105,25.05842105,1.024473684
F9P1,P.macroloba,-84.2936342,10.5351467,159406.4236,12.83,423.465,0.502142857,27.38714286,1.0975
F9P2,P.macroloba,-84.2919495,10.5315826,269794.151,14.04258065,405.8067742,0.460645161,27.25870968,1.149354839
F9P3,P.macroloba,-84.2948566,10.5309667,668428.7761,12.85818182,419.0869697,0.44030303,26.32757576,1.133333333
