"","plot","feve_sp","fdiv_sp","fdis_sp"
"36","F34P1",0.691125397857303,0.691678018319453,0.258403427617394
"37","F34P2",0.744359807163369,0.647477979962287,0.320166987310812
"38","F34P3",0.728454788882711,0.557344837850699,0.255218503639967
"39","F34P4",0.783837644329602,0.468610141873097,0.302309174586447
"40","F35P1",0.505036306537942,0.8716361501376,0.122288015149072
"41","F35P2",0.615716981297065,0.733278466475979,0.252411109474062
"42","F36P1",0.664468454225887,0.670423723853311,0.263202979328329
"43","F36P2",0.583333333333333,0.544232760474357,0.283574940837344
"44","F37P1",0.621876224842096,0.623920719347123,0.275916247490474
"45","F37P2",0.670199596862103,0.483303351651067,0.242153704795859
"46","F37P3",0.660367100762604,0.542691532580642,0.230539762022044
"47","F37P4",0.729154655415654,0.594011026880776,0.294379056551
"48","F38P1",0.5,0.535832677841607,0.289792339936841
"49","F38P2",0.73128010549107,0.76369736713006,0.227170683258886
"50","F38P3",0.552417555150318,0.711883821591727,0.153411335405121
"51","F38P4",0.534022764221754,0.700840863972759,0.302196176289181
"52","F39P1",0.554007016476754,0.551350092167418,0.252395029901133
"53","F39P2",0.500359796569679,0.497808091881511,0.283469209476944
"54","F3P1",0.678317035041948,0.594769009063445,0.294557236887381
"55","F3P2",0.725775126021919,0.518038675707827,0.268754946567279
"56","F3P3",0.667106776188187,0.878770074966224,0.157863289226386
"57","F3P4",0.487927750719361,0.691174026138555,0.297662932882322
"58","F40P1",0.733568689189624,0.612295776876673,0.30284004103831
"59","F40P2",0.533770789883078,0.498733328887489,0.278505178673858
"60","F40P3",0.640318880449994,0.569175204377669,0.271589593937344
"61","F40P4",0.779428133479631,0.645973035873034,0.270949352102326
"62","F41P1",0.6,0.586774459746698,0.237542151427051
"63","F41P2",0.834119698001125,0.580137598000298,0.309481411078384
"64","F41P3",0.755708458724055,0.706017745493148,0.262000341098516
"65","F41P4",0.53781286838729,0.687886714087961,0.222291725153818
"66","F41P5",0.714441151371034,0.546717838029136,0.334062871482849
"67","F41P6",0.618532655047804,0.565097012834202,0.294224361320007
"68","F42P1",0.540352854978431,0.533823666299182,0.280579831111208
"69","F42P2",0.571219338753002,0.535317528986827,0.27016290877634
"70","F42P3",0.689422229010059,0.483142875580778,0.270518261002504
"71","F42P4",0.467130108810589,0.724338807154228,0.200204556619375
"72","F43P1",0.584303866870484,0.649237729194529,0.249507890639932
"73","F43P2",0.470588235294118,0.801186030706856,0.129179421622047
"74","F43P3",0.600057142361881,0.660559678989778,0.276997313235649
"75","F44P1",0.545454545454545,0.70105769185406,0.225087602428711
"76","F44P2",0.792851946580581,0.554059360397875,0.293235432717977
"77","F44P3",0.574044909670687,0.428176818418751,0.294575604809091
"78","F44P4",0.550865260481721,0.589975217648959,0.34323462590106
"79","F45P1",0.565870797442702,0.489469399815975,0.260299252464015
"80","F45P2",0.605054844575082,0.544905567808484,0.298163460246499
"81","F46P1",0.616283532521169,0.628448103434105,0.212967197637064
"82","F46P2",0.734403652608269,0.5803083162433,0.299601687109418
"83","F47P1",0.573085732287093,0.464274771357735,0.269649562628445
"84","F47P2",0.842518305685204,0.625449374353064,0.284234863983144
"85","F47P3",0.82645511931192,0.571240085842736,0.281156897374412
"86","F48P1",0.521781173284559,0.493226416984544,0.253434760409481
"87","F48P2",0.518901672938092,0.560306038994723,0.293882694079623
"88","F49P1",0.592633641720072,0.69520188361292,0.2639118122388
"89","F49P2",0.735085797100845,0.658616617959108,0.272875657476348
"90","F49P3",0.669938161278327,0.623700601974546,0.257301013203758
"91","F4P1",0.607728401440958,0.523039112021759,0.212242072511943
"92","F4P2",0.76188693048291,0.791038523875375,0.339314766431145
"93","F50P1",0.693109138721871,0.666563650006115,0.266517524636573
"94","F50P2",0.491606423078725,0.509208226481557,0.233922218635168
"95","F50P3",0.5,0.698652864239924,0.184699970234779
"96","F50P4",0.762400995004317,0.563504150287536,0.221396899229135
"97","F51P1",0.5,0.718277607684332,0.223850023606156
"98","F51P2",0.438364787740396,0.5736488547724,0.148954148658758
"99","F51P3",0.357142857142857,0.673999874645011,0.181552858457538
