PCNM5,PCNM10,PCNM3,PCNM7,PCNM36,PCNM49,PCNM51,SAND,TEMPSD,PRECCV,ELEV,feve_sp
0.063934079,0.029088989,-0.060789769,0.049744786,0.203647136,1.09E-05,-1.94E-05,-0.087989956,0.67117897,-0.777838501,-0.05177681,0.84819541
0.075134928,0.039917283,-0.062528253,0.052390172,-0.164197608,-0.000507703,-7.30E-05,-0.205440603,0.18232562,-0.777838501,0.067850715,1.534434669
0.051609051,0.019180052,-0.05873244,0.04800896,-0.378635986,6.08E-05,0.000718976,1.086046713,0.345276737,-0.777838501,-0.155968526,-1.514550835
0.032777342,0.051826737,-0.048977181,0.097923318,0.235802442,-4.42E-05,-0.000602956,-0.32289125,0.345276737,-0.777838501,-0.206134907,0.58519577
-0.035767174,0.04315523,0.020630128,0.024069264,-0.152533814,0.010314831,0.269897831,-0.32289125,1.225212768,-0.963177131,-0.159827478,0.444336562
-0.04304004,0.000185893,0.014726998,-0.044638297,-0.0187559,-0.001627864,-0.015509757,-0.675243191,1.225212768,-0.963177131,-0.101943192,-0.273249565
-0.00560127,-0.073625664,0.17669992,0.054391416,0.02503062,-0.000146931,-6.34E-07,-1.154441832,0.752654529,-0.036483982,-0.796554627,0.462675504
-0.003358609,-0.07444171,0.172238208,0.05567452,0.047004969,3.02E-05,4.84E-06,-1.060011511,0.5734083,-0.036483982,-0.796554627,0.171120641
0.028245354,-0.065676894,0.14706088,0.087141938,0.168670346,2.32E-06,-2.25E-05,-0.966520796,0.5734083,-0.036483982,-0.703939769,-3.959093105
0.038494524,-0.068269814,0.138866284,0.091233244,-0.2442103,0.000121237,3.54E-05,-0.966520796,0.166030508,-0.221822612,-0.437672052,0.07724693
-0.050237595,0.029208399,0.020369508,-0.007551924,0.005830922,-0.00282286,0.001219286,0.146911339,1.33927855,-0.963177131,-0.360493004,-0.043067388
-0.050593758,0.029149981,0.020386023,-0.007544213,0.006765953,-0.007351769,-0.270595748,-0.322421447,1.33927855,-0.963177131,-0.360493004,0.263947463
-0.044650947,-3.98E-05,0.014808939,-0.044573277,-0.014548498,0.00163065,0.01550835,-0.792693838,1.33927855,-0.963177131,-0.437672052,0.897873554
-0.056096469,0.020549164,0.024977386,-0.006162937,-0.113773465,-0.010601896,0.063654396,-1.14504578,1.062261651,-0.963177131,-0.360493004,-0.534115554
0.052268864,-0.017559464,-0.007327787,-0.047980148,0.017836904,-0.000842879,0.062023184,1.344438137,-0.078396167,-0.963177131,0.924538151,1.008469829
0.024720691,-0.044576549,-0.008021417,-0.114456524,0.058955334,0.002574351,0.118486857,2.02565189,-0.290232619,-0.777838501,1.0017172,1.04115436
0.024846626,-0.044603202,-0.00804317,-0.1144745,0.058928113,0.007593624,0.166698025,1.790750596,-0.290232619,-0.777838501,1.171511106,0.069128564
0.038654755,-0.030544897,-0.007622643,-0.082251658,-0.100523292,-0.010292043,-0.269439417,1.344438137,0.068259838,-0.777838501,1.059601486,1.00225843
0.052147142,-0.017521333,-0.007305943,-0.047917096,0.017896467,-0.005517715,0.010885401,1.462358586,-0.078396167,-0.963177131,0.74702634,0.482855792
0.064966994,0.105422999,0.008199262,0.047258773,-0.013805415,7.75E-07,3.71E-05,0.170401468,1.013376316,-0.777838501,0.349554241,0.051624258
-0.04837587,-0.006130073,0.01442479,0.041787027,0.164272631,-0.104080878,0.045885178,-0.064499826,1.062261651,-0.963177131,-0.202275955,-2.770345007
-0.055528704,0.029482287,0.022461697,0.042305997,0.01303561,0.104313994,-0.045944865,-0.298931318,1.062261651,-0.963177131,-0.237006526,0.634834179
-0.035663179,-0.026765268,0.008712491,-0.076213646,-0.054293587,-0.002033171,0.047209095,-0.557792544,1.062261651,-0.963177131,-0.283313955,-0.283909622
-0.035301518,-0.026913809,0.008566376,-0.076782025,-0.052624734,0.012181547,-0.022196171,0.992086195,1.029671427,-0.963177131,-0.260160241,0.262993819
-0.033298633,-0.02631488,0.008696449,-0.075800987,-0.062634613,-0.019094284,0.057351237,0.264361986,1.078556763,-0.963177131,0.15660662,-0.478526623
-0.033636017,-0.02680454,0.008422811,-0.077043748,-0.055797904,0.015993845,-0.080097542,0.851145419,-0.013215721,-0.963177131,0.349554241,0.7937607
