PCNM8,PCNM7,PCNM5,PCNM6,PCNM40,PCNM4,CLAY,TEMP,PRECDRIEST,ELEV,redundancy
0.203382346,-0.061518268,-0.113623764,-0.083419791,-0.003091292,-0.164799939,-0.258551819,0.648587233,0.386912676,-0.823567294,1.221708634
0.092451516,0.017855368,-0.114239662,-0.020339862,-0.000297341,-0.126086841,1.253314138,0.648587233,0.234215629,-0.823567294,-0.275287678
0.092616652,0.017706968,-0.114090211,-0.020016983,0.001268182,-0.125997441,0.8656562,0.648587233,0.081518581,-0.823567294,-1.510726032
0.092933919,0.017446016,-0.11412595,-0.020450514,-0.000927687,-0.126194376,0.8656562,0.648587233,0.264755038,-0.823567294,-0.667314092
0.013829427,-0.007631778,-0.051099998,0.034956668,-0.002080762,0.080553138,0.545838401,0.379108786,0.845003819,-0.209993859,-0.617226665
0.013398285,-0.00796082,-0.051367143,0.034704188,0.000579129,0.080837946,0.545838401,0.379108786,0.875543228,-0.248583384,-0.900128574
0.02159385,-0.000384447,-0.045676297,0.04085879,0.01137079,0.079729191,0.085979173,0.289282637,0.936622047,-0.190699097,-0.425414682
0.021200947,-0.000817128,-0.045921794,0.040562042,0.014007256,0.080024379,0.933496339,0.199456488,0.936622047,-0.128955859,-0.530188267
-0.100293959,-0.016459625,0.151556242,-0.142596919,0.545282832,-0.173325106,-1.73116741,-1.956371088,0.203676219,1.858404636,2.206631524
-0.100469992,-0.016386071,0.151484992,-0.142571629,0.442447406,-0.17330442,-1.73116741,-1.956371088,0.203676219,2.105377591,0.49323221
0.025164783,0.010655295,0.106150743,-0.028833926,-0.000254818,-0.094678195,-1.852310515,-4.56132941,-2.880804141,3.664394367,2.238026608
0.000476482,0.036097275,0.088522915,-0.025055642,0.03288935,-0.080175192,-1.610024304,-4.022372516,-1.72030658,3.456010937,2.237931882
0.000652274,0.036259139,0.088442389,-0.024847756,-0.033013546,-0.080036459,-1.876539136,-4.022372516,-1.72030658,3.351819222,2.225044613
0.038269036,-0.021691217,0.015716771,-0.006646762,-0.005519961,0.024586501,-1.391966714,-0.339500406,0.875543228,0.561796624,1.080959648
-0.041644246,0.096917499,-0.004358223,0.001615453,-0.000330536,0.006287975,-0.641364033,-0.070021959,0.814464409,0.179760335,1.378191787
0.038219023,-0.022089072,0.0153413,-0.006868835,-0.004285489,0.024889126,-0.762022566,-0.249674257,0.906082638,0.530925005,1.876344061
0.071311398,-0.114865005,0.023974599,0.019275912,0.005825462,0.055078896,-1.610024304,-0.519152704,0.936622047,0.770180054,2.206440273
0.063391142,-0.10945828,0.037544193,-0.049720184,-0.089451951,0.009436255,-1.004308777,-0.698805002,1.150397914,1.090473105,0.578815109
0.085293579,-0.09468304,0.045388591,-0.028092713,3.12E-05,0.003900175,-1.610024304,-1.058109598,1.150397914,1.33744606,0.17844472
0.063606863,-0.110002744,0.037732017,-0.04992381,0.089466433,0.009307226,-1.852310515,-1.058109598,1.150397914,1.028729866,1.312608385
0.061614569,-0.087052574,0.059369703,-0.038058541,1.01E-05,-0.010982297,-1.585795683,-1.058109598,1.150397914,1.271843869,1.735904204
-0.146783755,0.012055299,0.132917416,-0.130032691,-0.000246991,-0.169022679,-1.828081894,-2.315675684,0.050979172,2.186415592,-0.800652714
-0.161463964,0.018042997,0.121773161,-0.124036209,-0.000930922,-0.163671124,-1.828081894,-1.866544939,0.020439762,2.225005116,-0.80997311
-0.100530238,-0.016061554,0.151242228,-0.142274515,-0.456556045,-0.173147023,-0.665108081,-0.249674257,0.539609724,0.488476528,-0.021826087
-0.100697923,-0.01598064,0.15108802,-0.142171602,-0.527070434,-0.173065784,-0.907394292,-0.249674257,0.478530905,0.515489195,-0.880876425
-0.07963904,0.084333199,-0.105811782,-0.004090991,-0.009525675,0.091624798,0.788609185,0.558761084,0.906082638,-0.5148511,-0.574849752
-0.055823132,0.066957912,-0.093221027,0.025330789,0.009763946,0.099533098,0.545838401,0.738413382,0.814464409,-0.669209197,-0.197245728
-0.088400896,0.066628685,-0.126609265,-0.001809755,0.014428728,0.104220758,0.546322974,0.738413382,0.814464409,-0.696221864,-0.309389756
0.011334648,0.042995453,-0.04721918,0.08828469,-0.016929229,0.104631287,0.424695296,0.558761084,0.845003819,-0.476261576,-0.203267248
0.016184648,0.049744786,0.063934079,-0.002398163,-0.001123764,-0.057177373,0.061265979,0.199456488,0.631227952,-0.05177681,-0.139433237
-0.015092541,0.052390172,0.075134928,-0.020756192,-0.004814653,-0.069776994,-0.059877126,0.01980419,0.722846181,0.067850715,-0.381572079
