PCNM8,PCNM35,PCNM9,PCNM6,PCNM10,PCNM15,PCNM13,PCNM7,PCNM3,TEMP,TEMPSD,Mg,CLAY,ELEV,fdis
-0.082101249,-0.110615791,-0.104370042,-0.063921573,0.029208399,0.02578518,0.075992551,-0.007551924,0.020369508,0.468934935,1.33927855,-0.308308993,-0.059877126,-0.360493004,0.286292763
-0.082426966,-0.109435091,-0.104664068,-0.064183665,0.029149981,0.025910805,0.075373512,-0.007544213,0.020386023,0.468934935,1.33927855,-0.350299654,0.30355219,-0.360493004,-0.080344735
-0.05839412,0.060862428,-0.026430937,-0.078258658,-3.98E-05,-0.055331078,0.066309268,-0.044573277,0.014808939,0.468934935,1.33927855,-0.268417864,0.667466079,-0.437672052,0.128453033
-0.098830965,0.005254529,0.090297407,-0.060060887,0.020549164,0.04976648,0.028924689,-0.006162937,0.024977386,0.468934935,1.062261651,-0.310408526,0.788124612,-0.360493004,0.364541687
0.100365336,-0.055694043,0.072940457,0.060404351,-0.017559464,0.079142694,-0.15564168,-0.047980148,-0.007327787,-0.519152704,-0.078396167,-0.252671366,-1.51310982,0.924538151,-1.414895265
0.071644044,-0.021124346,0.113739155,0.019545653,-0.044576549,0.028454961,0.079782515,-0.114456524,-0.008021417,-0.698805002,-0.290232619,-0.309358759,-1.852310515,1.0017172,-0.988507089
0.071868749,-0.021003967,0.11384384,0.019636046,-0.044603202,0.028219807,0.079729663,-0.1144745,-0.00804317,-0.698805002,-0.290232619,-0.22432767,-1.610024304,1.171511106,-1.386132601
0.085962906,0.281460257,0.092404509,0.039427435,-0.030544897,0.062966983,-0.053474969,-0.082251658,-0.007622643,-0.698805002,0.068259838,-0.367095919,-1.416195335,1.059601486,-0.522289123
0.100147027,-0.055790651,0.072790812,0.060335227,-0.017521333,0.079416312,-0.155765583,-0.047917096,-0.007305943,-0.519152704,-0.078396167,-0.319856425,-1.537338441,0.74702634,-1.15463651
0.04191089,-0.000927725,-0.180225997,0.044705156,0.105422999,-0.189137489,-0.085704478,0.047258773,0.008199262,-0.159848108,1.013376316,-0.379693117,-0.205248853,0.349554241,-2.153775855
-0.046800372,0.087315163,0.050198615,-0.022456481,-0.006130073,-0.037732816,0.273087246,0.041787027,0.01442479,0.289282637,1.062261651,-0.249522067,0.037037358,-0.202275955,0.07993415
-0.096523238,-0.046154578,0.071938684,-0.031345967,0.029482287,-0.040455372,0.184804509,0.042305997,0.022461697,0.468934935,1.062261651,-0.134047748,0.400466675,-0.237006526,0.214017658
-0.028942826,0.017492242,0.060960755,-0.086836654,-0.026765268,-0.030518636,0.022453111,-0.076213646,0.008712491,0.468934935,1.062261651,-0.356598253,0.400466675,-0.283313955,-1.060570104
-0.027848667,0.018738757,0.061682051,-0.086244279,-0.026913809,-0.030608961,0.022253207,-0.076782025,0.008566376,0.289282637,1.029671427,-0.313557825,-1.149680503,-0.260160241,0.089491951
-0.02743963,0.007523383,0.062650719,-0.085393455,-0.02631488,-0.031438853,0.027118672,-0.075800987,0.008696449,-0.070021959,1.078556763,-0.270517397,-0.205248853,0.15660662,-0.867400492
-0.026016339,0.014253838,0.063254561,-0.084874817,-0.02680454,-0.031198704,0.024688915,-0.077043748,0.008422811,-0.070021959,-0.013215721,-0.321955958,-1.052766019,0.349554241,-0.135528652
-0.02524101,-0.383467027,-0.003353789,-0.060546923,-0.000515803,-0.038173004,-0.089461893,-0.029056571,0.012110511,0.109630339,1.078556763,-0.311458292,-0.205248853,0.083286524,0.021653119
0.007611457,-0.02849241,-0.004383195,-0.072044118,0.0176035,0.006287499,-0.055099166,-0.001650384,-0.091765499,0.648587233,0.328981625,0.07590556,1.127325308,-0.78497777,0.484121713
0.019410444,-0.005911859,0.018779587,-0.061224434,-0.002264651,-0.017624586,-0.040155827,0.007187906,-0.082363895,0.648587233,0.328981625,-0.268417864,0.642752886,-0.746388245,-0.06021931
0.031885964,0.057044748,0.042525885,-0.049171408,-0.023043447,-0.03734359,-0.018772275,0.017350916,-0.072891694,0.648587233,0.198620731,-0.261069499,0.52160978,-0.78497777,0.45165921
0.031687072,0.056684059,0.042086525,-0.049171657,-0.022654038,-0.037138426,-0.018742082,0.016954968,-0.072973871,0.648587233,0.068259838,-0.247422534,1.00569763,-0.78497777,0.531540497
0.042529078,0.010825075,-0.095861538,-0.088582902,-0.043339078,0.161261388,0.094356093,-0.063858371,0.030996791,0.558761084,-0.713905523,-0.33350339,0.982438154,-0.746388245,0.440423455
0.042482876,0.011295085,-0.095468031,-0.088199118,-0.04338344,0.161148232,0.094358103,-0.064079855,0.031286552,0.558761084,-0.713905523,-0.30620946,0.496896587,-0.746388245,0.998228967
-0.050703886,0.006543257,-0.08184801,-0.021420213,0.003841431,-0.123445258,-0.020127621,-0.151933586,0.070533701,0.558761084,-0.567249518,-0.038518993,0.618524265,-0.823567294,0.200273946
-0.050482593,0.005870001,-0.081374671,-0.020919726,0.003850144,-0.123183211,-0.019955643,-0.152248526,0.070903713,0.558761084,-0.567249518,-0.2516216,0.73966737,-0.823567294,-0.431614136
-0.118674456,-0.008413478,-0.046220992,0.010143686,0.05046189,-0.04138684,-0.012394374,-0.08247487,0.089744123,0.558761084,-0.844266417,-0.319856425,1.224239792,-0.746388245,0.572279849
-0.118445368,-0.009586058,-0.045569502,0.010923274,0.050480395,-0.040565953,-0.012070029,-0.082554882,0.090116366,0.558761084,-0.844266417,-0.281015063,0.73966737,-0.746388245,-0.1387177
-0.118296588,-0.009993252,-0.045862437,0.01086496,0.050507324,-0.04053049,-0.012016578,-0.082851536,0.090056158,0.558761084,-0.844266417,-0.219078837,0.860810476,-0.746388245,0.885315304
-0.027966083,-0.088842145,0.068346466,0.023944942,0.038925283,-0.080713101,-0.099155261,-0.050380163,0.136974249,0.558761084,-0.127281502,-0.292562495,0.860810476,-0.823567294,-0.386662025
-0.064753306,0.077806419,-0.009368133,0.004479701,0.081159098,0.025305801,-0.061633541,-0.072464067,0.118561012,0.558761084,-0.713905523,-0.232725802,0.497381159,-0.823567294,0.118662186
-0.042510178,-0.001420897,0.071972807,-0.061035698,-0.027500354,-0.194372931,-0.060210803,0.125731903,-0.030362017,0.648587233,0.198620731,-0.367095919,0.73966737,-0.78497777,0.665669809
-0.041353121,-0.002373271,0.072140934,-0.0614028,-0.027683565,-0.195116249,-0.060280785,0.126078858,-0.031028436,0.648587233,0.198620731,-0.340851755,0.860810476,-0.750247198,0.456637238
