PCNM5,PCNM35,PCNM24,PCNM14,PCNM12,PRECCV,TEMPSD,feve_sp
-0.114239662,0.011143169,0.020946053,0.128620364,0.000389863,-0.036483982,-0.371708178,0.189121002
-0.114090211,0.010943564,0.02103008,0.128973307,0.000722453,0.148854647,0.100850061,1.137689248
-0.11412595,0.010761988,0.021261379,0.128337232,0.000325228,-0.036483982,0.28009629,-0.021009878
-0.051099998,-0.004764342,0.053128153,-0.046109816,-0.011665206,-0.963177131,1.143737209,-0.259485909
-0.051367143,-0.002611016,0.05294044,-0.046520893,-0.011203562,-0.963177131,0.654883859,0.303105582
-0.045676297,-0.003634937,0.003494522,-0.018339301,0.022792143,-0.963177131,0.817834976,-2.526034329
-0.045921794,-0.000839608,0.003153598,-0.018686729,0.023517404,-0.963177131,0.817834976,-0.001839363
0.151556242,0.054838394,-0.00793084,0.018674268,-0.013676036,1.075547796,-2.32712158,-0.590882865
0.151484992,0.054701035,-0.008204012,0.018511249,-0.013309267,1.075547796,-2.32712158,0.177714277
0.106150743,0.080254842,0.03789239,-0.008246573,0.10176596,5.152997648,-1.805678006,-2.347169848
0.088522915,0.003588792,0.097553098,-0.019954261,0.115774006,2.743595463,-1.805678006,-1.393108432
0.088442389,0.002998987,0.097944879,-0.019865931,0.115626569,2.743595463,-1.805678006,-0.861470197
0.015716771,0.003473907,0.061264317,-0.026706664,-0.095475832,-0.963177131,-0.208757061,-0.135835121
-0.004358223,0.240632364,-0.03096542,0.006395151,0.064149053,-0.963177131,0.850425199,-0.838983389
0.0153413,0.005509048,0.060934031,-0.026725859,-0.095411171,-0.963177131,0.866720311,1.133074578
0.023974599,-0.018025287,0.025903495,-0.040527036,0.065539068,-0.963177131,-0.241347284,0.587931534
0.037544193,0.030199481,-0.081445238,0.050820176,-0.163719815,-0.592499871,-1.626431778,1.815509368
0.045388591,-0.278188254,0.012396948,0.014919256,-0.223581823,-0.592499871,-1.626431778,1.344491054
0.037732017,0.032485768,-0.081226806,0.050499874,-0.163393933,-0.592499871,-1.626431778,0.814731281
0.059369703,0.261047701,0.006312344,-0.06253034,-0.145048065,-0.592499871,-1.626431778,0.044455431
0.132917416,-0.18101509,-0.078807325,-0.138323556,0.241728655,1.260886425,-1.773087783,0.323821308
0.121773161,0.072103337,-0.011349099,-0.12898774,0.2852348,1.446225055,-2.783384707,-0.591415705
0.151242228,0.051314016,-0.009028447,0.019577851,-0.014278145,-0.592499871,-0.730200635,0.362677446
