PCNM5,PCNM20,PCNM29,PCNM24,PCNM19,SAND,TEMP,fdiv
0.018879023,0.0710046,-0.009849355,-0.069787991,-0.074559881,-0.74571358,0.558761084,-1.12202827
-0.001627653,-0.090750017,-0.021388919,-0.107889019,0.017675679,-0.745243777,0.558761084,-1.464667361
0.022571941,-0.135680561,0.039901394,-0.078813184,0.129342852,-0.299870923,0.558761084,0.108155804
0.02241027,-0.135898307,0.039515867,-0.078484114,0.129353564,-1.12155565,0.558761084,-0.139564289
0.029159398,-0.015117893,-0.090579626,0.180808065,0.051484594,-0.886184553,0.558761084,-0.854070071
-0.013069636,0.075964304,-0.02492708,-0.125524388,0.015321204,1.720280207,-0.698805002,0.630110956
-0.00301414,0.113603613,0.012562458,-0.265957222,0.038329888,0.07644095,-0.698805002,0.928280045
-0.044668071,-0.037853862,0.030120893,0.006465485,-0.035599739,-0.041009697,-0.159848108,0.05628062
-0.044478751,-0.037677767,0.030024982,0.006816666,-0.035602691,-0.510812285,-0.159848108,0.979571162
-0.033523251,-0.041588311,-0.113976897,0.126182327,0.17724673,0.663694186,-0.159848108,0.637988037
-0.023967021,0.000463884,-0.00740109,0.125071211,-0.014911553,0.193891597,-0.339500406,0.740745673
-0.044933676,-0.038351316,0.030294262,0.006017743,-0.035568292,0.310872442,0.109630339,0.30964013
0.121196099,-0.027659009,0.005111633,0.096364816,0.006205036,1.485378913,-1.147935747,0.27624826
0.121081517,-0.027922044,0.00531206,0.096623113,0.006315912,1.368398069,-1.597066492,0.972380041
0.120554762,-0.028766524,0.00600336,0.097489364,0.00630412,1.837730855,-1.956371088,1.463985375
0.120688171,-0.02857361,0.005892282,0.097347345,0.006161668,1.485378913,-1.686892641,1.539960288
0.119723076,0.052303455,0.025125088,-0.150099642,0.033072719,1.72075001,-2.046197237,-0.743026991
0.118391599,0.107191215,-0.011992336,-0.26824254,0.043848494,1.955181502,-1.77671879,-1.636021308
0.120939337,-0.027923638,0.005628419,0.096973826,0.005047552,1.720280207,-1.237761896,0.571079688
0.120936729,-0.027819452,0.005600596,0.096925753,0.004764319,1.367928266,-1.237761896,0.602615494
-0.207031746,0.144648938,-0.017437414,-0.162717091,0.006769178,-0.327589276,0.828239532,-0.118972122
-0.212386364,0.064876337,-0.009263743,0.073995599,-0.082064185,-0.233628758,0.828239532,-0.605242511
-0.206731473,-0.105960378,0.02040118,0.02388616,-0.057618507,-0.421549793,0.828239532,1.524355956
0.145198256,0.058106589,-0.034154508,-0.081724497,0.06081501,0.893427652,-0.070021959,1.220014928
0.157278853,0.054053264,0.025863126,-0.026239708,-0.033054012,-0.233628758,-0.159848108,-0.005484891
0.155700168,0.00150024,-0.02418871,-0.037478895,-0.099547039,-0.534302415,-0.159848108,1.036225517
-0.028087241,-0.046453333,0.006893151,0.164757741,-0.055429868,0.029460691,0.738413382,0.424644358
-0.028317105,-0.102741315,-0.055807372,-0.187124316,-0.119082348,-0.252890664,0.738413382,-0.767552342
-0.085330606,0.075325107,0.022515361,-0.058751161,-0.111567379,-1.379477271,0.738413382,-1.888672548
-0.0854177,0.075202394,0.022579226,-0.058577133,-0.111504014,-1.191556236,0.738413382,-2.153835363
0.014507304,-0.037942974,-0.319351679,5.84E-05,0.023384186,-1.004105003,0.738413382,-0.775502264
0.005842515,-0.003532166,0.488910605,0.023912515,0.007626754,-1.285986556,0.738413382,-2.145618392
0.014507285,-0.037942877,-0.319379629,5.75E-05,0.023383984,-0.72222345,0.738413382,0.293413574
