PCNM7,PCNM3,PCNM29,PCNM48,PCNM8,PCNM43,PCNM34,PCNM15,PCNM46,TEMPSD,redundancy_sp
-0.160713171,-0.079821342,-0.187402677,-0.121305177,-0.170861876,0.09220061,0.023409275,-0.048250414,0.333742089,-0.355413066,1.412393516
-0.167047733,-0.080600928,0.541742912,5.27E-09,-0.191169545,1.56E-06,-0.010724528,-0.050496322,2.75E-07,-0.029510832,0.045819182
-0.061874443,0.129384334,0.010990991,-0.049841043,0.204028706,0.018517743,0.039278626,-0.084902816,0.135295031,-0.127281502,-1.225750774
-0.021370273,0.152671469,-0.042261719,1.90E-05,0.156140346,8.53E-06,-0.280871476,-0.033965863,-4.33E-05,-0.127281502,0.044451363
-0.061688556,0.129295136,0.010911556,-0.000596148,0.203685691,-0.010397876,0.03883081,-0.085131579,-0.018795316,-0.127281502,-1.858407429
-0.061518268,0.129236211,0.010887874,0.058882647,0.203382346,-0.032653892,0.038543444,-0.08534478,-0.13301264,0.214915843,-0.922588055
0.017855368,0.174923597,0.019039172,0.058085693,0.092451516,-0.00369249,0.043528701,0.044902013,-0.011172001,-0.371708178,-0.556818318
0.017706968,0.175000705,0.019050404,0.003117476,0.092616652,0.021590729,0.044675413,0.045210164,0.122149997,0.100850061,-1.482868782
0.017446016,0.174713185,0.018748554,-0.061320278,0.092933919,-0.017613309,0.044002198,0.044551337,-0.111398395,0.28009629,-0.533158198
-0.007631778,-0.02134474,-0.000114155,-0.025618717,0.013829427,-0.04362838,0.094921998,0.096028591,0.099601359,1.143737209,0.290868308
-0.00796082,-0.021221289,-1.83E-05,-0.059471563,0.013398285,-0.084517871,0.095925416,0.096900938,-0.009250617,0.654883859,-1.529010857
-0.000384447,-0.020842521,0.029774306,0.066829193,0.02159385,-0.202002001,0.033367323,0.008355486,0.018176935,0.817834976,-0.210241235
-0.000817128,-0.020710587,0.029991916,0.027713027,0.021200947,-0.239885732,0.034233849,0.008926316,-0.103630964,0.817834976,-0.737831482
-0.016459625,-0.052385502,0.027084186,-0.004446788,-0.100293959,-0.008404108,-0.010069277,-0.016435818,-0.001016287,-2.32712158,1.257660988
-0.016386071,-0.052336044,0.026962814,0.001818456,-0.100469992,-0.007803644,-0.009217915,-0.016082945,0.001191994,-2.32712158,0.3623547
0.010655295,-0.067560794,0.076829344,8.93E-05,0.025164783,-0.000277912,-0.219261419,-0.047271061,-0.000144209,-1.805678006,0.029991258
0.036097275,-0.064517058,-0.011817969,0.00632432,0.000476482,0.050510595,-0.004431286,0.017447024,0.009761917,-1.805678006,0.621985855
0.036259139,-0.064551502,-0.011773979,-0.006313213,0.000652274,-0.050444842,-0.004233246,0.017389681,-0.009689853,-1.805678006,0.325604657
-0.021691217,0.003554354,0.018674602,-0.005513103,0.038269036,-0.04555255,-0.040904244,0.063904895,-0.001850451,-0.208757061,2.149210999
0.096917499,0.020685151,-0.002619118,-0.000433356,-0.041644246,-0.007653839,0.152818756,0.028451176,-0.000495826,0.850425199,-0.922087352
-0.022089072,0.003525277,0.018527205,-0.001650864,0.038219023,-0.005406679,-0.039959062,0.063952934,0.021249104,0.866720311,-1.146191412
-0.114865005,-0.008047579,-0.001678544,-0.053186957,0.071311398,-0.003500399,0.033203103,0.029263268,0.002448325,-0.241347284,0.906894877
-0.10945828,-0.053803687,-0.021220613,-0.012612172,0.063391142,-0.042832294,0.013199953,-0.087280605,0.002125111,-1.626431778,0.176350419
-0.09468304,-0.055351654,0.031696866,1.28E-06,0.085293579,-7.58E-05,-0.026902041,-0.035458996,-4.00E-05,-1.626431778,-0.465088783
-0.110002744,-0.053802336,-0.021101324,0.012615237,0.063606863,0.042751176,0.012106901,-0.087263322,-0.002153304,-1.626431778,0.437699786
-0.087052574,-0.058002629,-0.026582141,-2.15E-06,0.061614569,-0.000404599,0.001314683,0.088781364,-8.13E-05,-1.626431778,-0.537435649
0.012055299,-0.037919998,-0.045780585,-8.50E-06,-0.146783755,-0.00042445,-0.004797024,0.229297501,-9.20E-05,-1.773087783,2.568037322
0.018042997,-0.031607076,-0.050608932,-6.45E-06,-0.161463964,-0.000590683,0.127186427,0.207088774,-5.56E-05,-2.783384707,0.58096375
-0.016061554,-0.052253451,0.027092392,-0.003477309,-0.100530238,0.006487302,-0.004321757,-0.017126334,-0.001871322,-0.730200635,0.452392322
-0.01598064,-0.052168677,0.026872358,0.006045669,-0.100697923,0.006701211,-0.003561465,-0.016612913,0.001969736,-0.371708178,0.044431117
0.084333199,0.032638476,-0.0281163,-0.007195044,-0.07963904,-0.050695113,0.012290971,0.0032233,0.019554451,1.469639443,-0.14090648
0.066957912,0.02710495,-0.031590844,0.007214661,-0.055823132,0.051120383,0.097061622,0.137646626,-0.019511427,1.094851874,-0.043372535
0.066628685,0.039189894,-0.022079901,3.87E-05,-0.088400896,0.007017181,0.086440192,0.076015322,0.000107353,1.094851874,0.839019903
0.042995453,0.012374665,0.06540955,7.69E-05,0.011334648,-0.017171248,-0.288730461,0.130021103,0.001316007,0.752654529,-0.197801264
0.049744786,-0.060789769,0.029310203,1.16E-05,0.016184648,0.000399124,-0.066776879,-0.041358531,9.32E-05,0.67117897,-0.158669903
0.052390172,-0.062528253,-0.045786256,-0.000463399,-0.015092541,0.00303448,0.183307773,0.055662133,-0.001106708,0.18232562,0.728177396
0.04800896,-0.05873244,0.096607725,-4.65E-05,0.044920629,0.013871724,-0.054576867,-0.148561018,-0.0010305,0.345276737,1.883809923
0.097923318,-0.048977181,-0.038489196,4.78E-05,-0.018038852,-0.013829771,0.055509694,-0.159811773,0.001123428,0.345276737,-0.404181742
0.024069264,0.020630128,0.009821779,-0.021896364,-0.066613449,0.018723581,-0.016931854,0.060136887,0.026764033,1.225212768,-0.080543386
-0.044638297,0.014726998,-0.017343531,-0.008022591,-0.056903299,-0.045979781,0.008766141,-0.05596366,0.004778184,1.225212768,-0.009418266
0.054391416,0.17669992,-0.025801916,-7.17E-05,0.063776261,0.000231511,0.01204449,-0.040542746,-0.000120532,0.752654529,-0.385750898
0.05567452,0.172238208,0.096759872,3.99E-05,0.066614302,0.000314049,0.095426162,-0.04986347,-0.000198,0.5734083,-0.861577686
0.087141938,0.14706088,-0.045242696,-6.25E-05,-0.048886793,-0.000774179,-0.427561673,0.070861696,-0.000239556,0.5734083,1.215339818
0.091233244,0.138866284,0.017805044,0.000105156,-0.07896188,0.001039368,0.126958171,0.085374311,0.000684713,0.166030508,-0.444863171
-0.007551924,0.020369508,0.045690228,0.00479742,-0.082101249,-0.01776626,-0.041325603,0.02578518,-0.011488643,1.33927855,-0.736738788
-0.007544213,0.020386023,0.045568537,0.017457473,-0.082426966,0.005277006,-0.040820606,0.025910805,-0.013966518,1.33927855,0.01625381
-0.044573277,0.014808939,-0.017820842,0.008032875,-0.05839412,0.046081193,0.010977785,-0.055331078,-0.004758128,1.33927855,0.026219312
-0.006162937,0.024977386,0.02715442,0.02838737,-0.098830965,0.212005198,-0.123501463,0.04976648,-0.016365127,1.062261651,-0.151340485
-0.047980148,-0.007327787,0.001237714,0.014464016,0.100365336,0.035180037,0.006152843,0.079142694,0.001489999,-0.078396167,0.76557589
