PCNM7,PCNM48,PCNM3,PCNM34,PCNM29,PCNM15,pH,TEMPSD,fdis
0.225740361,2.94E-05,0.005177866,0.111659712,-0.034154508,-0.099665068,-0.437427774,1.306688326,1.399047115
0.202697698,2.27E-06,0.004816576,-0.024743448,0.025863126,0.03402343,0.609267041,1.013376316,0.981698404
0.188234437,1.37E-06,0.006132775,0.012945901,-0.02418871,0.074042905,0.609267041,1.013376316,1.656436149
0.1964552,-5.68E-05,0.004977723,-0.015880786,0.006893151,-0.033143062,0.347593337,1.502229666,1.67178852
0.209779302,1.49E-05,-0.003658067,-0.013637595,-0.055807372,0.059175587,-0.17575407,1.502229666,0.386956963
0.148262309,0.058257138,-0.128974098,0.074769401,0.022515361,-0.135024558,0.085919633,0.231210955,1.569301893
0.148298629,-0.05874868,-0.129085196,0.074579403,0.022579226,-0.13512153,-0.17575407,0.231210955,0.662267792
-0.008134765,-0.000179825,-0.003639306,0.004395346,-0.319351679,0.019083438,0.085919633,1.355573661,-0.857046604
-0.036173369,-7.71E-05,-0.007793189,-0.016829891,0.488910605,-0.004526384,0.085919633,1.355573661,1.481450009
-0.008134532,-0.000155999,-0.00363929,0.004396623,-0.319379629,0.01908352,0.347593337,1.355573661,0.255803855
