PCNM10,PCNM38,PCNM7,CLAY,TEMPMIN,PREC,ELEV,rao_sp
0.053967256,-0.112233301,-0.004258402,0.134436415,-0.115356753,1.180319927,0.334118431,2.237968183
0.053966658,-0.114922142,-0.004305698,0.133951843,-0.115356753,1.129771178,0.357272146,0.573146474
0.033243106,0.074430229,-0.038919146,-0.714049896,-0.367948263,1.129771178,0.480758623,0.300040399
0.006734927,0.367344257,-0.074518454,-0.350620579,-0.367948263,1.365665341,0.565655576,0.217714749
0.053925838,-0.110319222,-0.004449202,-0.350136007,-0.115356753,0.823108766,0.334118431,0.89183165
0.013943634,-0.018663554,0.070099259,-1.319280851,-1.125722793,-0.774231708,1.264125964,0.449652157
0.013806007,-0.020098828,0.069565598,-1.198137745,-1.125722793,-0.989906371,1.43391987,1.270551636
0.013352065,-0.010378006,0.06769155,-1.682710168,-1.715102983,-1.134812785,1.80052035,-0.400615093
0.013512342,-0.00670139,0.068153058,-1.319280851,-1.715102983,-0.919138122,1.723341302,-0.276680646
0.017321804,-0.000240848,0.056103129,-1.803853273,-1.967694493,-1.205581034,1.970314256,0.348938767
0.020505778,-0.01053836,0.044044036,-2.046139484,-2.051891663,-0.84163004,1.985750066,1.141654912
0.014092753,0.030636066,0.069527509,-1.440423957,-1.378314303,-0.349622215,1.183087963,-0.357394219
0.014184245,0.040705807,0.069705085,-1.198137745,-1.209919963,-0.349622215,1.426201965,0.15475612
0.026665854,0.004868372,0.068432844,0.439232469,0.895009288,0.098576695,-0.78497777,-0.159207642
0.005880591,0.008357198,0.072331777,0.439232469,0.895009288,0.223263609,-0.78497777,0.851429087
0.033951878,-0.00801265,0.080264642,0.633061437,0.895009288,0.223263609,-0.78497777,-0.012247295
0.06084897,0.001142108,0.225740361,-0.762022566,-0.031159583,0.243483109,0.168183477,-0.385037427
0.048240736,0.000425581,0.202697698,0.30355219,-0.199553923,0.233373359,0.256939383,0.553194757
0.051685317,0.002662334,0.188234437,0.788609185,-0.199553923,0.233373359,0.233785668,-0.972474441
-0.017013733,0.014420811,0.1964552,0.032191634,0.726614948,-0.093508552,-0.669209197,0.03407783
-0.033610897,-0.005205325,0.209779302,0.32341966,0.726614948,-0.093508552,-0.669209197,0.545593874
-0.071278606,-0.000975189,0.148262309,1.582338812,0.726614948,-1.465064613,-0.669209197,0.186715215
-0.071198785,-0.010412644,0.148298629,1.388994416,0.726614948,-1.465064613,-0.707798721,-1.79101982
-0.490145839,0.001902457,-0.008134765,1.195165447,0.642417778,-2.735523176,-0.707798721,-0.716276722
-0.508871074,0.000137968,-0.036173369,1.4859089,0.642417778,-2.735523176,-0.707798721,-1.707003628
-0.490140636,0.001902291,-0.008134532,0.710593025,0.642417778,-2.735523176,-0.707798721,-2.57051651
