PCNM7,PCNM48,PCNM29,PCNM3,PCNM15,PCNM34,pH,PREC,PRECDRIEST,rao
-0.072464067,-0.000126018,0.094044076,0.118561012,0.025305801,0.206752064,-0.803770959,-0.140687385,-0.590348428,0.984703675
0.125731903,0.410148427,-0.011407583,-0.030362017,-0.194372931,-0.00111904,-0.699101477,-0.868589373,-0.926281932,0.442376535
0.126078858,-0.422149337,-0.012174229,-0.031028436,-0.195116249,-0.001439068,-0.228088811,-0.828150374,-0.926281932,-0.448954305
0.126337755,0.013899024,-0.011618427,-0.030782021,-0.194644424,-0.00158568,-1.039277292,-0.828150374,-0.865203113,0.29444522
0.2112876,5.48E-06,-0.071319238,0.150437963,0.052821479,-0.170799266,-0.17575407,-0.44397988,0.050979172,0.039501166
0.204116035,-1.85E-06,0.096593693,0.163513319,0.118510102,0.126827421,0.085919633,-0.44397988,-0.010099647,0.059086826
-0.13808751,0.027681667,-0.010334159,0.184179367,0.08753315,0.021685982,-0.018749848,-0.096878469,-0.284954333,-0.232020546
-0.137602566,0.115851811,-0.009787782,0.18435806,0.087646087,0.019869921,-0.489762514,-0.096878469,-0.254414923,-0.543236965
-0.137602966,-0.146694838,-0.009849355,0.184191578,0.086840075,0.019608451,-0.777603588,-0.03621997,-0.193336104,-1.428303116
-0.115895352,-0.005626688,-0.021388919,0.18094349,-0.063903843,-0.086739547,-0.411260403,-0.03621997,-0.162796695,0.599235608
-0.076694349,0.065003947,0.039901394,-0.099662686,0.097277602,-0.122808449,-0.437427774,-0.110358135,-1.353833665,-1.844076908
-0.076768389,-0.065136477,0.039515867,-0.099701437,0.097532716,-0.123261971,2.283978743,-0.110358135,-1.353833665,-2.187640741
-0.085629741,0.000339982,-0.090579626,-0.092206648,0.058541045,0.152527098,-0.699101477,-0.069919136,-1.414912484,-1.880149567
-0.068379205,5.95E-07,-0.02492708,-0.037280649,-0.130400428,-0.083547595,-0.803770959,1.567860338,1.272555552,1.223635558
-0.059045909,3.27E-06,0.012562458,-0.03657543,-0.155628192,0.044994123,0.399928078,1.567860338,1.272555552,0.838546786
-0.004258402,-0.005834105,0.030120893,-0.021302644,0.005983492,0.03278805,-0.228088811,1.180319927,1.089319095,-0.159208658
-0.004305698,0.008140164,0.030024982,-0.021392762,0.00555755,0.032340533,-0.751436218,1.129771178,1.089319095,0.162816407
-0.038919146,0.026942375,-0.113976897,-0.02993679,-0.050425589,-0.218802771,0.007417522,1.129771178,1.180937323,-1.153181409
-0.074518454,-0.002045974,-0.00740109,-0.037731501,-0.075323792,0.119221585,-0.123419329,1.365665341,1.180937323,-1.323259077
-0.004449202,-0.036751809,0.030294262,-0.021163287,0.006604087,0.033581366,-0.620599366,0.823108766,1.089319095,-0.957424147
0.070099259,0.014042182,0.005111633,0.013731175,0.017795847,-0.022687878,-0.332758292,-0.774231708,-0.010099647,1.105949097
0.069565598,0.010057134,0.00531206,0.01375163,0.017835972,-0.022946809,-0.437427774,-0.989906371,-0.010099647,-0.195959971
0.06769155,-0.007789436,0.00600336,0.013825638,0.017877539,-0.02391882,0.58309967,-1.134812785,-0.162796695,-0.094970988
0.068153058,-0.005244288,0.005892282,0.013819502,0.017837985,-0.023747731,-0.018749848,-0.919138122,-0.162796695,0.685949913
0.056103129,3.83E-06,0.025125088,0.011961016,-0.054808047,0.064482238,-0.699101477,-1.205581034,-0.346033152,1.830943927
0.044044036,4.62E-06,-0.011992336,0.010030911,-0.116174398,-0.101137826,0.347593337,-0.84163004,-0.43765138,-1.324028076
0.069527509,-0.00491996,0.005628419,0.013820676,0.017558628,-0.023409359,0.085919633,-0.349622215,0.050979172,0.894820025
0.069705085,-0.006291381,0.005600596,0.013823468,0.017489156,-0.023395018,0.975610226,-0.349622215,0.234215629,0.121374846
0.068432844,-6.11E-06,-0.017437414,0.102327481,-0.097524568,-0.01326561,0.609267041,0.098576695,0.509070314,1.012469083
