PCNM4,PCNM10,PCNM5,CLAY,OrganicMatter,PRECDRIEST,TEMPMIN,feve
-0.015588075,0.105422999,0.064966994,-0.205248853,-0.191063767,0.783925,-0.115356753,1.125517823
0.046757343,-0.006130073,-0.04837587,0.037037358,-0.029505425,1.028240276,0.474023438,-1.050950662
0.048576083,0.029482287,-0.055528704,0.400466675,0.30807917,1.028240276,0.474023438,-1.175371496
0.036599956,-0.026765268,-0.035663179,0.400466675,-0.174184538,1.028240276,0.474023438,0.634263765
0.036842024,-0.026913809,-0.035301518,-1.149680503,1.096580333,1.028240276,0.389826268,-1.113305818
0.035679574,-0.02631488,-0.033298633,-0.205248853,-0.154893989,1.058779685,0.221431927,0.433285908
0.036519389,-0.02680454,-0.033636017,-1.052766019,0.763818374,1.119858504,-0.031159583,-0.536481969
0.027914611,-0.000515803,-0.02489136,-0.205248853,0.356305541,1.058779685,0.221431927,0.020084822
0.105945537,0.0176035,0.019252621,1.127325308,-0.470776718,-1.170597208,0.558220608,-1.327664314
0.110523003,-0.002264651,0.019626065,0.642752886,-0.475599355,-1.170597208,0.558220608,-0.866560781
0.114269153,-0.023043447,0.019334612,0.52160978,0.023543583,-1.017900161,0.642417778,-2.077149836
0.11424833,-0.022654038,0.019328833,1.00569763,-0.171773219,-1.07897898,0.642417778,-1.564519911
0.130446456,-0.043339078,0.115969589,0.982438154,-0.053618611,-0.987360751,0.558220608,-0.646306031
0.130467877,-0.04338344,0.116070785,0.496896587,0.02836622,-0.987360751,0.558220608,0.814434746
0.115436765,0.003841431,0.136273313,0.618524265,-0.007803558,-1.07897898,0.558220608,-0.195818872
0.115381788,0.003850144,0.136341164,0.73966737,0.469637512,-0.987360751,0.474023438,-0.509571688
0.125301808,0.05046189,0.116239463,1.224239792,-0.533471,-0.743045475,0.558220608,-0.947662795
0.124863664,0.050480395,0.116048398,0.73966737,-0.330920243,-0.743045475,0.558220608,-0.801073953
0.124729585,0.050507324,0.116063533,0.860810476,-0.490067266,-0.743045475,0.558220608,0.304788606
0.072184508,0.038925283,0.071103654,0.860810476,-0.521414407,-0.559809018,0.558220608,-0.384371798
