PCNM38,PCNM7,OrganicMatter,TEMPSD,uniqueness_sp
-0.002514102,-0.064079855,0.02836622,-0.713905523,-0.087527034
-0.211684997,-0.151933586,-0.007803558,-0.567249518,-0.557757834
-0.114448059,-0.152248526,0.469637512,-0.567249518,-0.679585225
0.013433455,-0.08247487,-0.533471,-0.844266417,0.208386755
0.146508257,-0.082554882,-0.330920243,-0.844266417,-0.771664009
0.15640119,-0.082851536,-0.490067266,-0.844266417,0.161433075
0.001885899,-0.050380163,-0.521414407,-0.127281502,-0.814726636
0.023335942,-0.072464067,-0.002980921,-0.713905523,0.2754755
-0.015717627,0.125731903,-0.502123859,0.198620731,1.541011363
0.004531166,0.126078858,-0.78183681,0.198620731,-0.334673439
0.011194919,0.126337755,-0.07049784,0.08455495,-0.817994934
-0.009478528,0.2112876,-0.622689786,0.557113189,-0.310275037
-0.006256786,0.204116035,-0.78183681,0.736359417,0.225921839
0.025641374,-0.13808751,0.850625842,-0.192461949,-0.408047238
0.00371475,-0.137602566,-0.78183681,-0.062101056,0.178849303
-0.009859938,-0.137602966,-0.458720125,0.003079391,-1.178473537
0.389436233,-0.115895352,-0.796304721,-0.176166837,-0.199259185
0.007344882,-0.076694349,0.544388387,-0.453183736,0.268194953
-0.006493167,-0.076768389,-0.907225374,-0.453183736,-1.094320361
0.028924471,-0.085629741,-0.398437162,-0.860561528,-0.277784256
-0.000297586,-0.068379205,1.619836456,-1.023512645,-0.37395812
0.000478413,-0.059045909,-0.940983833,-1.414595326,-0.061246379
-0.112233301,-0.004258402,-0.35262211,-0.045805944,1.173071051
-0.114922142,-0.004305698,-0.461131444,-0.045805944,-0.134324239
0.074430229,-0.038919146,0.636018492,-0.159871726,-0.708256632
0.367344257,-0.074518454,0.013898308,-0.159871726,-0.792653392
-0.110319222,-0.004449202,-0.053618611,-0.045805944,-0.010804207
-0.018663554,0.070099259,1.523383714,-1.26793932,-0.186170977
-0.020098828,0.069565598,0.353894222,-1.26793932,0.658039115
-0.010378006,0.06769155,2.097277526,-1.544956219,-1.296827333
-0.00670139,0.068153058,0.493750698,-1.544956219,-0.986478448
-0.000240848,0.056103129,2.712163754,-1.398300214,-0.248335412
-0.01053836,0.044044036,3.946758846,-1.756792671,0.442191432
0.030636066,0.069527509,1.590900633,-0.958332198,-1.042739794
0.040705807,0.069705085,0.247796207,-1.561251331,-0.883959914
0.004868372,0.068432844,-0.793893402,2.202919469,0.19258225
0.008357198,0.072331777,-0.511769133,1.958492794,1.039043991
-0.00801265,0.080264642,-0.707085935,1.958492794,0.197345526
0.001142108,0.225740361,-0.099433663,1.306688326,1.738580076
0.000425581,0.202697698,-0.92892724,1.013376316,0.791928022
0.002662334,0.188234437,-1.331617437,1.013376316,0.786025696
0.014420811,0.1964552,-0.994032841,1.502229666,0.377954531
-0.005205325,0.209779302,-1.022968664,1.502229666,0.641337166
-0.000975189,0.148262309,-0.991621523,0.231210955,1.202101275
-0.010412644,0.148298629,-0.998855478,0.231210955,0.088985927
0.001902457,-0.008134765,-0.719142528,1.355573661,0.94516779
0.000137968,-0.036173369,-0.73119912,1.355573661,-0.072463633
0.001902291,-0.008134532,-0.839708455,1.355573661,-0.147496267
