PCNM15,PCNM29,PCNM5,PCNM19,PCNM54,PCNM4,PCNM25,SAND,TEMPMIN,elevation,fdiv_sp
-0.048088652,-0.188281687,-0.100998973,-0.027832986,-1.12E-05,-0.120475407,0.013287979,-0.121345939,0.137234757,-0.345057194,0.992175557
-0.048250414,-0.187402677,-0.100226055,-0.028626062,1.40E-05,-0.120248935,0.013687941,-1.26672465,0.053037587,-0.5148511,-0.281475259
-0.050496322,0.541742912,-0.100192383,-0.022803357,-2.71E-05,-0.126850128,0.015448121,-1.173233935,0.642417778,-0.719375579,-0.511193356
-0.084902816,0.010990991,-0.113474585,0.033066099,-7.11E-05,-0.164788276,0.005789568,-0.741015554,0.726614948,-0.823567294,-1.734952729
-0.033965863,-0.042261719,-0.115665879,-0.309298371,-1.28E-08,-0.147443598,-0.122826927,-0.881486528,0.726614948,-0.823567294,-2.35054299
-0.085131579,0.010911556,-0.113547167,0.032980923,9.34E-06,-0.164793457,0.005817453,-1.022897107,0.726614948,-0.823567294,-0.889099503
-0.08534478,0.010887874,-0.113623764,0.032910518,5.96E-05,-0.164799939,0.005780072,-0.928936589,0.726614948,-0.823567294,0.116598032
0.044902013,0.019039172,-0.114239662,0.172699943,-1.56E-05,-0.126086841,0.016388094,-0.966520796,0.726614948,-0.823567294,0.360808021
0.045210164,0.019050404,-0.114090211,0.173070543,-8.13E-05,-0.125997441,0.01642439,-0.590678725,0.726614948,-0.823567294,0.454850059
0.044551337,0.018748554,-0.11412595,0.172391814,9.73E-05,-0.126194376,0.016700471,-0.590678725,0.642417778,-0.823567294,0.767397505
0.096028591,-0.000114155,-0.051099998,-0.060986805,-1.10E-05,0.080553138,0.046141736,-0.393361638,0.474023438,-0.209993859,-0.711338918
0.096900938,-1.83E-05,-0.051367143,-0.061039486,-1.51E-05,0.080837946,0.045293158,-0.393361638,0.474023438,-0.248583384,1.108364736
0.008355486,0.029774306,-0.045676297,-0.035878401,1.56E-05,0.079729191,-0.011342167,0.193421795,0.305629098,-0.190699097,-0.870644208
0.008926316,0.029991916,-0.045921794,-0.035827542,1.09E-05,0.080024379,-0.012547885,-0.862694424,0.305629098,-0.128955859,-0.90021747
-0.016435818,0.027084186,0.151556242,0.025119616,6.21E-05,-0.173325106,-0.004249958,1.720280207,-2.136088833,1.858404636,1.498059735
-0.016082945,0.026962814,0.151484992,0.025374756,-7.33E-05,-0.17330442,-0.004815612,1.72075001,-2.136088833,2.105377591,1.007443761
-0.047271061,0.076829344,0.106150743,-0.120572004,2.37E-08,-0.094678195,-0.07914206,1.838200657,-4.325215254,3.664394367,0.736951223
0.017447024,-0.011817969,0.088522915,-0.048932786,-2.86E-05,-0.080175192,0.130038364,1.696790078,-3.904229404,3.456010937,0.375853266
0.017389681,-0.011773979,0.088442389,-0.048846994,2.86E-05,-0.080036459,0.1306308,1.814240725,-3.904229404,3.351819222,1.265217081
0.063904895,0.018674602,0.015716771,-0.082668952,-4.56E-06,0.024586501,0.038929294,1.462358586,-0.283751093,0.561796624,0.70865668
0.028451176,-0.002619118,-0.004358223,0.036674233,-4.84E-08,0.006287975,-0.081370286,0.522753409,-0.031159583,0.179760335,-0.635251874
0.063952934,0.018527205,0.0153413,-0.082681371,-3.26E-06,0.024889126,0.038871727,0.639734254,-0.283751093,0.530925005,0.317042853
0.029263268,-0.001678544,0.023974599,0.106237989,-4.93E-05,0.055078896,0.016606993,1.696790078,-0.536342603,0.770180054,0.740214297
-0.087280605,-0.021220613,0.037544193,-0.111144297,2.38E-06,0.009436255,-0.101484946,1.086046713,-1.041525623,1.090473105,1.083305141
