PCNM7,PCNM3,PCNM8,PCNM15,PCNM48,PCNM10,PCNM4,PCNM34,PCNM5,TEMPSD,uniqueness
-0.167047733,-0.080600928,-0.191169545,-0.050496322,5.27E-09,-0.070208879,-0.126850128,-0.010724528,-0.100192383,-0.029510832,-1.235818769
-0.061874443,0.129384334,0.204028706,-0.084902816,-0.049841043,-0.005921777,-0.164788276,0.039278626,-0.113474585,-0.127281502,1.568934388
-0.021370273,0.152671469,0.156140346,-0.033965863,1.90E-05,0.007688533,-0.147443598,-0.280871476,-0.115665879,-0.127281502,0.220417327
-0.061688556,0.129295136,0.203685691,-0.085131579,-0.000596148,-0.00593904,-0.164793457,0.03883081,-0.113547167,-0.127281502,2.240597794
-0.061518268,0.129236211,0.203382346,-0.08534478,0.058882647,-0.005961162,-0.164799939,0.038543444,-0.113623764,0.214915843,1.267149706
0.017855368,0.174923597,0.092451516,0.044902013,0.058085693,0.038116562,-0.126086841,0.043528701,-0.114239662,-0.371708178,0.931581036
0.017706968,0.175000705,0.092616652,0.045210164,0.003117476,0.038158308,-0.125997441,0.044675413,-0.114090211,0.100850061,2.109585431
0.017446016,0.174713185,0.092933919,0.044551337,-0.061320278,0.038069349,-0.126194376,0.044002198,-0.11412595,0.28009629,0.860887016
-0.007631778,-0.02134474,0.013829427,0.096028591,-0.025618717,0.026130342,0.080553138,0.094921998,-0.051099998,1.143737209,-0.305419178
-0.00796082,-0.021221289,0.013398285,0.096900938,-0.059471563,0.026003038,0.080837946,0.095925416,-0.051367143,0.654883859,0.060663129
-0.000384447,-0.020842521,0.02159385,0.008355486,0.066829193,0.054109524,0.079729191,0.033367323,-0.045676297,0.817834976,0.34728261
-0.000817128,-0.020710587,0.021200947,0.008926316,0.027713027,0.054056544,0.080024379,0.034233849,-0.045921794,0.817834976,0.462313838
-0.016459625,-0.052385502,-0.100293959,-0.016435818,-0.004446788,0.011539871,-0.173325106,-0.010069277,0.151556242,-2.32712158,-1.067593322
-0.016386071,-0.052336044,-0.100469992,-0.016082945,0.001818456,0.011515105,-0.17330442,-0.009217915,0.151484992,-2.32712158,-0.218490822
0.010655295,-0.067560794,0.025164783,-0.047271061,8.93E-05,0.090883037,-0.094678195,-0.219261419,0.106150743,-1.805678006,0.235768976
0.036097275,-0.064517058,0.000476482,0.017447024,0.00632432,0.066218663,-0.080175192,-0.004431286,0.088522915,-1.805678006,-0.392725333
0.036259139,-0.064551502,0.000652274,0.017389681,-0.006313213,0.066261231,-0.080036459,-0.004233246,0.088442389,-1.805678006,-0.078070609
-0.021691217,0.003554354,0.038269036,0.063904895,-0.005513103,-0.00663213,0.024586501,-0.040904244,0.015716771,-0.208757061,-1.681155095
0.096917499,0.020685151,-0.041644246,0.028451176,-0.000433356,0.07288452,0.006287975,0.152818756,-0.004358223,0.850425199,1.131376258
-0.022089072,0.003525277,0.038219023,0.063952934,-0.001650864,-0.006785414,0.024889126,-0.039959062,0.0153413,0.866720311,1.530222884
-0.114865005,-0.008047579,0.071311398,0.029263268,-0.053186957,-0.044714677,0.055078896,0.033203103,0.023974599,-0.241347284,-0.695200557
-0.10945828,-0.053803687,0.063391142,-0.087280605,-0.012612172,-0.054627297,0.009436255,0.013199953,0.037544193,-1.626431778,-0.040124392
-0.09468304,-0.055351654,0.085293579,-0.035458996,1.28E-06,-0.05453118,0.003900175,-0.026902041,0.045388591,-1.626431778,0.754478902
-0.110002744,-0.053802336,0.063606863,-0.087263322,0.012615237,-0.054625762,0.009307226,0.012106901,0.037732017,-1.626431778,-0.195927719
-0.087052574,-0.058002629,0.061614569,0.088781364,-2.15E-06,-0.044399277,-0.010982297,0.001314683,0.059369703,-1.626431778,0.785079523
0.012055299,-0.037919998,-0.146783755,0.229297501,-8.50E-06,0.035831834,-0.169022679,-0.004797024,0.132917416,-1.773087783,-2.079583271
0.018042997,-0.031607076,-0.161463964,0.207088774,-6.45E-06,0.039087697,-0.163671124,0.127186427,0.121773161,-2.783384707,-0.562568219
-0.016061554,-0.052253451,-0.100530238,-0.017126334,-0.003477309,0.011298122,-0.173147023,-0.004321757,0.151242228,-0.730200635,-0.56587844
-0.01598064,-0.052168677,-0.100697923,-0.016612913,0.006045669,0.011236144,-0.173065784,-0.003561465,0.15108802,-0.371708178,-0.520721832
0.084333199,0.032638476,-0.07963904,0.0032233,-0.007195044,-0.028568988,0.091624798,0.012290971,-0.105811782,1.469639443,-0.072613445
0.066957912,0.02710495,-0.055823132,0.137646626,0.007214661,-0.064268263,0.099533098,0.097061622,-0.093221027,1.094851874,0.511661455
0.066628685,0.039189894,-0.088400896,0.076015322,3.87E-05,-0.092563235,0.104220758,0.086440192,-0.126609265,1.094851874,-0.526942159
