Familia,genero,Especie,coespec,AF(mm2),AFE(mm2mg-1),CFMS(Mgg-1),DM(gcm3-1),N(mgg-1),P(mgg-1),rasgo de:
MELIACEAE,Guarea,kunthiana,GUARKU,45464.09,13.47,334.34,0.63,25.2,1.4,AQUINO
ANNONACEAE,Guatteria,aeruginosa,GUATAE,16736.08,11.64,319.17,0.49,22.2,1,ADINA
ANNONACEAE,Guatteria,recurvisepala,GUATRE,12575.34,9.79,447.2,0.47,21,0.8,ADINA
RUBIACEAE,Guettarda,sp.,GUETSP,15870.72,14.17,332.85,0.63,23.74,0.88,
MALVACEAE,Hampea,appendiculata,HAMPAP,16079.4,17.67,330,0.32,31.97,1.66,FERNANDO
HERNANDIACEAE,Hernandia,didymantha,HERNDI,16149.76,12.82,290,0.26,26.1,1.24,FERNANDO
CHRYSOBALANACEAE,Hirtella,media,HIRTME,1567.68,10.84,397.19,0.67,18.4,0.8,ADINA
CHRYSOBALANACEAE,Hirtella,sp.,HIRTSP,2952.09,13.22,428.6,0.74,18.89,0.64,
CHRYSOBALANACEAE,Hirtella,triandra,HIRTTR,4336.5,15.61,460,0.81,19.39,0.47,FERNANDO
HUMIRIACEAE,Humiriastrum,diguense,HUMIDI,3346.2,12.9,450,0.77,18.47,0.74,FERNANDO
EUPHORBIACEAE,Hyeronima,alchorneoides,HYERAL,23878.5,13.87,280,0.64,25.11,1.16,FERNANDO
EUPHORBIACEAE,Hyeronima,oblonga,HYEROB,3624.92,14.77,283.99,0.65,25.3,1.1,ADINA
FABACEAE/PAP.,Hymenolobium,mesoamericanum,HYMEME,16461.09,15.46,460.08,0.62,26.9,1.3,ADINA
AQUIFOLIACEAE,Ilex,skutchii,ILEXSK,4291.74,15.81,420,0.42,24.09,1.01,FERNANDO
FABACEAE/MIM.,Inga,sp.01,INGA01,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.02,INGA02,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.03,INGA03,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.04,INGA04,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.05,INGA05,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.06,INGA06,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.07,INGA07,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.08,INGA08,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.09,INGA09,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,sp.10,INGA10,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,acuminata,INGAAC,9622.51,17.93,443.67,0.66,33,1.1,ADINA
FABACEAE/MIM.,Inga,allenii,INGAAE,17130.65,16.21,361.76,0.61,36.4,1.3,AQUINO
FABACEAE/MIM.,Inga,alba,INGAAL,21991.37,13.98,450,0.5,33.34,1.18,FERNANDO
FABACEAE/MIM.,Inga,chocoensis,INGACH,46600.14,13.47,473.4,0.63,3,1.2,ADINA
FABACEAE/MIM.,Inga,jinicuil,INGAJI,37513.69,16.88,480.71,0.54,31.47,1.19,
FABACEAE/MIM.,Inga,leiocalycina,INGALE,58767.46,15.7,430,0.54,34.36,1.25,FERNANDO
FABACEAE/MIM.,Inga,mortoniana,INGAMO,29073.25,20.54,645.35,0.54,35.9,1.2,ADINA
FABACEAE/MIM.,Inga,oerstediana,INGAOE,83198.2,14.51,506.05,0.46,34.3,1.7,ADINA
FABACEAE/MIM.,Inga,pezizifera,INGAPE,32894.77,14.35,500,0.51,33.23,1.06,FERNANDO
FABACEAE/MIM.,Inga,sertulifera,INGASE,6039.6,17.13,483.37,0.58,25.5,1,ADINA
FABACEAE/MIM.,Inga,thibaudiana,INGATH,30823.47,13.42,480,0.45,27.4,0.84,FERNANDO
ARECACEAE,Iriartea,deltoidea,IRIADE,3157269.86,9.94,380,0.13,20.36,1.25,FERNANDO
BIGNONIACEAE,Jacaranda,copaia,JACACO,138953.18,11.46,430,0.26,24.14,0.96,FERNANDO
CARICACEAE,Jacaratia,costaricensis,JACTCO,30331.06,25.66,210,0.07,39.15,2.3,
APOCYNACEAE,Lacmellea,panamensis,LACMPA,2556.93,21.93,345.17,0.57,22.5,1,AQUINO
QUIINACEAE,Lacunaria,panamensis,LACUPA,4792.8,14.06,488.94,0.73,19.7,1,ADINA
FLACOURTIACEAE,Laetia,procera,LAETPR,6982.83,25.73,360,0.58,29.18,1.25,FERNANDO
FABACEAE/PAP.,Lecointea,amazonica,LECOAM,1917.45,9.96,452.82,0.8,27.2,1.2,ADINA
LECYTHIDACEAE,Lecythis,ampla,LECYAM,2399.37,22.3,420,0.69,25.75,1.26,FERNANDO
CHRYSOBALANACEAE,Licania,affinis,LICNAF,7019.36,7.52,449.84,0.73,17.3,0.6,ADINA
CHRYSOBALANACEAE,Licania,hypoleuca,LICNHY,2603.68,11.42,520.72,0.82,22.2,0.7,ADINA
CHRYSOBALANACEAE,Licania,kallunkiae,LICNKA,6947.6,5.78,561.06,0.79,14.2,0.5,ADINA
CHRYSOBALANACEAE,Licania,sparsipilis,LICNSA,2409.04,7.73,593.45,0.82,17.9,0.6,ADINA
CHRYSOBALANACEAE,Licania,sp.,LICNSP,4744.92,8.11,531.27,0.79,17.9,0.6,
FABACEAE/PAP.,Lonchocarpus,ferrugineus,LONCFE,119749.91,17.07,386.62,0.71,33.6,1.4,ADINA
FABACEAE/PAP.,Lonchocarpus,sp.,LONCSP,68587.55,17.95,348.76,0.7,36.25,1.65,
FLACOURTIACEAE,Macrohasseltia,macroterantha,MACAMA,5506.21,23.83,366.67,0.49,33.51,1.36,
FABACEAE/CAES.,Macrolobium,costaricense,MACRCO,12699.26,17.86,370,0.62,28.27,1.32,FERNANDO
FABACEAE/CAES.,Macrolobium,hartshornii,MACRHA,12699.26,17.86,370,0.62,28.27,1.32,
FABACEAE/CAES.,Macrolobium,sp.,MACRSP,12699.26,17.86,370,0.62,28.27,1.32,
SAPOTACEAE,Manilkara,chicle,MANICH,13141.27,11.25,444.87,0.73,22.9,0.83,
SAPOTACEAE,Manilkara,aff.staminodella,MANIST,13141.27,11.25,444.87,0.73,22.9,0.83,
SAPOTACEAE,Manilkara,zapota,MANIZA,13141.27,11.25,444.87,0.73,22.9,0.83,
CHRYSOBALANACEAE,Maranthes,panamensis,MARAPA,9810.47,14.95,390,0.78,20.32,0.59,FERNANDO
CLUSIACEAE,Marila,laxiflora,MARILA,13427.7,16.76,370,0.62,21.81,1.04,FERNANDO
SAPINDACEAE,Matayba,sp.,MATASP,29047.2,17.7,313.95,0.59,21.9,1.4,
MELASTOMATACEAE,Miconia,multispicata,MICOMU,16041.17,11.55,370,0.56,25.39,1.12,FERNANDO
SAPOTACEAE,Micropholis,crotonoides,MICRCR,14245.77,10.5,420,0.72,27.77,0.66,FERNANDO
SAPOTACEAE,Micropholis,melinoniana,MICRME,7202.36,9.25,442.03,0.64,2.9,0.7,ADINA
OLACACEAE,Minquartia,guianensis,MINQGU,14546.32,14.98,440,0.75,26.6,1.36,FERNANDO
TILIACEAE,Mortoniodendron,anisophyllum,MORTAN,9312.34,24.5,368.39,0.25,28.82,1.13,
MELASTOMATACEAE,Mouriri,gleasoniana,MOURGL,3109.16,7.63,437.62,0.73,15.1,0.8,ADINA
MORACEAE,Naucleopsis,naga,NAUCNA,24187.92,12.75,450,0.53,21.89,0.77,FERNANDO
LAURACEAE,Nectandra,sp.,NECTSP,4143.15,12.31,425.17,0.46,20.38,0.97,
BOMBACACEAE,Ochroma,pyramidale,OCHRPY,37884.76,11.24,408.1,0.2,21.9,1.4,ADINA
LAURACEAE,Ocotea,atirrensis,OCOTAT,14982.6,9.55,473.45,0.53,22.2,0.9,ADINA
LAURACEAE,Ocotea,insularis,OCOTIN,14189.44,10.09,419.1,0.43,22.3,1,ADINA
LAURACEAE,Ocotea,macropoda,OCOTMA,14306.4,10.63,416.62,0.48,25.9,1.3,ADINA
LAURACEAE,Ocotea,sp.,OCOTSP,9160.94,10.58,422.85,0.43,21.46,1.01,
FABACEAE/PAP.,Ormosia,cf.coccinea,ORMOCC,37699.42,8.97,428.74,0.62,23.93,0.9,
FABACEAE/PAP.,Ormosia,intermedia,ORMOIN,22596.96,12.64,415.51,0.68,26.1,1,ADINA
MYRISTICACEAE,Otoba,novogranatensis,OTOBNO,23686.65,13.09,260,0.33,19.26,0.96,FERNANDO
BOMBACACEAE,Pachira,aquatica,PACHAQ,31463.08,14.48,320.19,0.41,23.9,1.4,ADINA
MYRSINACEAE,Parathesis,trychogyne,PARATR,6170.16,9.53,353.12,0.53,14.4,0.9,ADINA
FABACEAE/MIM.,Pentaclethra,macroloba,PENTMA,28525.51,12.87,430,0.47,29.24,1.14,FERNANDO
EUPHORBIACEAE,Pera,arborea,PERAAR,4187.12,10,465.32,0.73,21.5,0.9,ADINA
APOCYNACEAE,Tabernaemontana,arborea,PESCAR,5455.28,18.78,253.39,0.54,31.9,1.5,ADINA
PODOCARPACEAE,Podocarpus,guatemalensis,PODOGU,485.88,6.28,441.11,0.45,14,0.6,ADINA
RUBIACEAE,Posoqueria,latifolia,POSOLA,21020.56,6.79,343.35,0.58,13.3,0.5,ADINA
CECROPIACEAE,Pourouma,bicolor,POURBI,182287.44,13.61,390,0.32,24.21,0.92,FERNANDO
CECROPIACEAE,Pourouma,minor,POURMI,21128.29,17.89,350,0.36,29.38,1.23,FERNANDO
SAPOTACEAE,Pouteria,sp.01,POUT01,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.02,POUT02,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.03,POUT03,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.04,POUT04,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.05,POUT05,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.06,POUT06,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.07,POUT07,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.08,POUT08,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.09,POUT09,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.10,POUT10,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.11,POUT11,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.12,POUT12,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.13,POUT13,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.14,POUT14,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.15,POUT15,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.16,POUT16,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.17,POUT17,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,sp.18,POUT18,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,belizensis,POUTBE,6193.47,8.3,430.94,0.73,19.3,0.8,ADINA
SAPOTACEAE,Pouteria,calistophylla,POUTCA,34434.14,8.63,426.08,0.67,25.6,0.9,AQUINO
SAPOTACEAE,Pouteria,campechiana,POUTCM,23543.97,13.68,450,0.8,25.9,0.71,FERNANDO
SAPOTACEAE,Pouteria,cuspidata,POUTCU,2457.56,7.68,456.48,0.73,16.1,0.6,ADINA
SAPOTACEAE,Pouteria,durlandii,POUTDU,6825.76,14.12,410,0.76,33,0.96,FERNANDO
SAPOTACEAE,Pouteria,filipes,POUTFP,6885.59,11.93,530,0.77,32.82,0.9,FERNANDO
SAPOTACEAE,Pouteria,reticulata,POUTRE,6680.86,14.38,450,0.6,28.5,0.89,FERNANDO
SAPOTACEAE,Pouteria,silvestris,POUTSI,2691,8.78,487.75,0.73,14.5,0.6,ADINA
SAPOTACEAE,Pouteria,sp.,POUTSP,14320.43,11.26,458.15,0.73,23.7,0.84,
SAPOTACEAE,Pouteria,torta,POUTTO,23790.72,9.59,463.27,0.74,19.1,1,ADINA
SAPOTACEAE,Pradosia,atroviolacea,PRADAT,10030.4,12.58,476.37,0.82,18.6,0.8,ADINA
BURSERACEAE,Protium,panamense,PROTPA,43565.36,17.76,390,0.5,21.75,1.16,FERNANDO
BURSERACEAE,Protium,pittieri,PROTPI,54042.42,16.1,420,0.44,23.86,1,FERNANDO
BURSERACEAE,Protium,ravenii,PROTRA,154159.05,17.88,340,0.37,24.1,1.13,FERNANDO
BURSERACEAE,Protium,schippii,PROTSC,12438.36,13.94,480.49,0.51,2.3,1,ADINA
BURSERACEAE,Protium,sp.,PROTSP,66051.3,16.42,407.62,0.46,18,1.07,
MORACEAE,Pseudolmedia,spuria,PSEUSU,3011.34,13.06,454.55,0.77,18.8,0.7,AQUINO
RUBIACEAE,Simira,maxonii,PSYCPA,13427.12,14.29,288.52,0.74,26.4,0.9,ADINA
FABACEAE/PAP.,Pterocarpus,officinalis,PTEROF,18267.92,22.93,405.27,0.53,33,1.2,ADINA
FABACEAE/PAP.,Pterocarpus,rohrii,PTERRO,56757.28,26.01,260,0.47,37.18,1.81,FERNANDO
VOCHYSIACEAE,Qualea,paraensis,QUALPO,3280.8,8.74,313.89,0.55,18.1,1,ADINA
BOMBACACEAE,Quararibea,bracteolosa,QUARBR,12901.63,22.49,339.05,0.47,22.8,1.3,AQUINO
BOMBACACEAE,Quararibea,obliquifolia,QUAROB,28363.2,13.86,264.3,0.31,25,1.4,ADINA
EUPHORBIACEAE,Richeria,obovata,RICHOB,10267.2,15.55,229.46,0.52,24.2,1.1,AQUINO
ANNONACEAE,Rollinia,pittieri,ROLLPI,6246.86,17.04,420,0.32,26.82,1.39,FERNANDO
HUMIRIACEAE,Sacoglottis,trichogyna,SACOTR,9986.79,12.42,440,0.71,13.7,0.61,FERNANDO
EUPHORBIACEAE,Sapium,glandulosum,SAPIGL,7650.12,12.79,328.15,0.49,22.6,1.8,ADINA
EUPHORBIACEAE,Sapium,rigidifolium,SAPIRI,24316.59,15.04,308.38,0.44,27.29,1.76,
EUPHORBIACEAE,Sapium,sp.,SAPISP,24316.59,15.04,308.38,0.44,27.29,1.76,
FABACEAE/CAES.,Sclerolobium,costaricense,SCLECO,122310.81,9.01,520,0.61,34.66,0.81,FERNANDO
SIMAROUBACEAE,Simarouba,amara,SIMAAM,48523.14,16.63,350,0.36,27.85,0.95,FERNANDO
ELAEOCARPACEAE,Sloanea,guianensis,SLOAGU,2429.35,15.62,457.95,0.72,21,0.8,ADINA
