PCNM10,PCNM8,PCNM3,PCNM4,PCNM13,PCNM15,PCNM35,PCNM9,TEMPSD,TEMPMIN,Mg,fdiv
0.065955718,-0.17096657,-0.08043906,-0.120475407,-0.001325344,-0.048088652,0.012720397,0.029858189,-0.502069071,0.137234757,0.930415521,1.040770871
0.064980038,-0.170861876,-0.079821342,-0.120248935,-0.001233406,-0.048250414,0.013314744,0.029279315,-0.355413066,0.053037587,-0.108853351,0.673557874
-0.070208879,-0.191169545,-0.080600928,-0.126850128,-0.010400638,-0.050496322,-0.006868005,-0.012189374,-0.029510832,0.642417778,0.090602291,1.205194826
-0.005921777,0.204028706,0.129384334,-0.164788276,0.024853191,-0.084902816,-0.021674783,-0.069069184,-0.127281502,0.726614948,5.38142564,-1.586659093
0.007688533,0.156140346,0.152671469,-0.147443598,-0.003837137,-0.033965863,0.067529938,0.002724287,-0.127281502,0.726614948,5.171472333,-1.615507542
-0.00593904,0.203685691,0.129295136,-0.164793457,0.024636787,-0.085131579,-0.021476157,-0.069209937,-0.127281502,0.726614948,3.628315523,-1.682172196
-0.005961162,0.203382346,0.129236211,-0.164799939,0.024458118,-0.08534478,-0.021269975,-0.069319,0.214915843,0.726614948,5.181969998,-3.568945809
0.038116562,0.092451516,0.174923597,-0.126086841,-0.041635735,0.044902013,0.011143169,0.046792799,-0.371708178,0.726614948,-0.171839343,-0.894590681
0.038158308,0.092616652,0.175000705,-0.125997441,-0.041583339,0.045210164,0.010943564,0.047043584,0.100850061,0.726614948,-0.297811327,-0.236974855
0.038069349,0.092933919,0.174713185,-0.126194376,-0.041544824,0.044551337,0.010761988,0.04638163,0.28009629,0.642417778,-0.171839343,-0.003811533
0.026130342,0.013829427,-0.02134474,0.080553138,-0.003520618,0.096028591,-0.004764342,-0.044666875,1.143737209,0.474023438,-0.159242144,0.447755214
0.026003038,0.013398285,-0.021221289,0.080837946,-0.003894296,0.096900938,-0.002611016,-0.044194827,0.654883859,0.474023438,-0.319856425,0.893724653
0.054109524,0.02159385,-0.020842521,0.079729191,-0.038326203,0.008355486,-0.003634937,-0.086488886,0.817834976,0.305629098,-0.292562495,0.251213338
0.054056544,0.021200947,-0.020710587,0.080024379,-0.038993078,0.008926316,-0.000839608,-0.086115609,0.817834976,0.305629098,-0.231676036,0.193173022
0.011539871,-0.100293959,-0.052385502,-0.173325106,-0.004264233,-0.016435818,0.054838394,0.130886381,-2.32712158,-2.136088833,-0.213830004,-0.373640231
0.011515105,-0.100469992,-0.052336044,-0.17330442,-0.004255306,-0.016082945,0.054701035,0.130785693,-2.32712158,-2.136088833,-0.257920199,0.463579697
0.090883037,0.025164783,-0.067560794,-0.094678195,0.063487172,-0.047271061,0.080254842,-0.109294981,-1.805678006,-4.325215254,-0.240074168,0.905761466
0.066218663,0.000476482,-0.064517058,-0.080175192,-0.01126504,0.017447024,0.003588792,-0.091440772,-1.805678006,-3.904229404,-0.260019732,-0.522691925
0.066261231,0.000652274,-0.064551502,-0.080036459,-0.011155736,0.017389681,0.002998987,-0.09168301,-1.805678006,-3.904229404,-0.308308993,-0.478986277
-0.00663213,0.038269036,0.003554354,0.024586501,-0.259195203,0.063904895,0.003473907,0.043161329,-0.208757061,-0.283751093,-0.335602923,-0.277285083
0.07288452,-0.041644246,0.020685151,0.006287975,-0.127400118,0.028451176,0.240632364,-0.173413478,0.850425199,-0.031159583,-0.339801989,-2.303292085
-0.006785414,0.038219023,0.003525277,0.024889126,-0.259486699,0.063952934,0.005509048,0.043217794,0.866720311,-0.283751093,-0.300960627,-1.827610935
-0.044714677,0.071311398,-0.008047579,0.055078896,0.078553925,0.029263268,-0.018025287,0.113451841,-0.241347284,-0.536342603,-0.345050822,-1.3606865
-0.054627297,0.063391142,-0.053803687,0.009436255,-0.009330053,-0.087280605,0.030199481,0.16766244,-1.626431778,-1.041525623,-0.358697787,-0.335347226
-0.05453118,0.085293579,-0.055351654,0.003900175,-0.063507666,-0.035458996,-0.278188254,0.179857403,-1.626431778,-1.041525623,-0.162391444,0.164520398
-0.054625762,0.063606863,-0.053802336,0.009307226,-0.010203224,-0.087263322,0.032485768,0.168022253,-1.626431778,-1.041525623,-0.312508059,-0.963170645
-0.044399277,0.061614569,-0.058002629,-0.010982297,-0.042720292,0.088781364,0.261047701,0.189577704,-1.626431778,-1.041525623,-0.367095919,-1.013840038
0.035831834,-0.146783755,-0.037919998,-0.169022679,-0.039136547,0.229297501,-0.18101509,0.040836367,-1.773087783,-2.388680344,-0.200183039,0.893103889
0.039087697,-0.161463964,-0.031607076,-0.163671124,-0.015654153,0.207088774,0.072103337,0.014871309,-2.783384707,-2.304483173,0.241768673,0.951437505
0.011298122,-0.100530238,-0.052253451,-0.173147023,-0.003841449,-0.017126334,0.051314016,0.130461491,-0.730200635,-0.367948263,0.232320774,0.395580299
0.011236144,-0.100697923,-0.052168677,-0.173065784,-0.003850184,-0.016612913,0.051307611,0.130256293,-0.371708178,-0.283751093,0.231271007,1.156533808
-0.028568988,-0.07963904,0.032638476,0.091624798,-0.086291813,0.0032233,-0.029204122,0.009865141,1.469639443,0.474023438,-0.250571833,-0.064433107
-0.064268263,-0.055823132,0.02710495,0.099533098,-0.10245948,0.137646626,0.000585151,0.070796923,1.094851874,0.810812118,-0.340851755,-0.241081836
-0.092563235,-0.088400896,0.039189894,0.104220758,-0.040298815,0.076015322,-0.051447658,0.095752344,1.094851874,0.810812118,-0.345050822,0.529167662
-0.050074789,0.011334648,0.012374665,0.104631287,0.025894358,0.130021103,0.149312163,0.072830657,0.752654529,0.642417778,-0.276815997,0.202950776
0.029088989,0.016184648,-0.060789769,-0.057177373,-0.016418175,-0.041358531,-0.3529262,-0.075753276,0.67117897,0.221431927,-0.179187709,-0.033205453
0.039917283,-0.015092541,-0.062528253,-0.069776994,-0.02280927,0.055662133,-0.158729303,-0.071491853,0.18232562,0.053037587,-0.297811327,0.634846009
0.019180052,0.044920629,-0.05873244,-0.043984908,-0.001092094,-0.148561018,0.129482311,-0.086531213,0.345276737,0.305629098,-0.304109927,0.130038347
0.051826737,-0.018038852,-0.048977181,-0.031186779,0.171888217,-0.159811773,0.175345045,-0.049148092,0.345276737,0.305629098,-0.198083506,-1.392585796
0.04315523,-0.066613449,0.020630128,0.026045777,-0.056719312,0.060136887,0.191723004,-0.124827933,1.225212768,0.389826268,-0.341901522,-1.440230835
