PCNM7,PCNM4,PCNM5,PCNM21,PCNM3,PCNM18,PCNM8,TEMP,PREC,PRECCV,PRECDRIEST,CLAY,OrganicMatter,ELEV,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
-0.087052574,-0.010982297,0.059369703,0.047159185,-0.058002629,0.148978421,0.061614569,-1.058109598,1.547640838,-0.592499871,1.150397914,-1.585795683,-0.205531679,1.271843869,1.365188069,-3.09084748,-0.672984473,0.918849145,1.94285348
0.012055299,-0.169022679,0.132917416,0.02464765,-0.037919998,0.05343598,-0.146783755,-2.315675684,1.719506585,1.260886425,0.050979172,-1.828081894,2.070753023,2.186415592,-0.826543792,-0.903046804,-0.525785645,-1.722311579,-0.781615849
0.018042997,-0.163671124,0.121773161,-0.143085108,-0.031607076,-0.023383348,-0.161463964,-1.866544939,1.274677592,1.446225055,0.020439762,-1.828081894,1.250904719,2.225005116,0.434001101,-2.093352478,-1.052884735,0.220811526,1.712360248
-0.016061554,-0.173147023,0.151242228,0.011424193,-0.052253451,0.04162161,-0.100530238,-0.249674257,0.661352769,-0.592499871,0.539609724,-0.665108081,-0.936161196,0.488476528,-0.254257404,0.004896929,0.585940052,-1.148620325,0.527732269
-0.01598064,-0.173065784,0.15108802,0.011280351,-0.052168677,0.041823091,-0.100697923,-0.249674257,0.661352769,-0.592499871,0.478530905,-0.907394292,-0.097022344,0.515489195,-0.461335885,-0.64295324,-1.562505457,-0.410637777,1.166388899
0.084333199,0.091624798,-0.105811782,0.11981392,0.032638476,0.187798805,-0.07963904,0.558761084,0.327731024,-0.963177131,0.906082638,0.788609185,-0.538293637,-0.5148511,-0.186881368,0.645280049,-0.367315659,0.191443706,-0.100608819
0.066957912,0.099533098,-0.093221027,-0.10165645,0.02710495,0.029836794,-0.055823132,0.738413382,0.142385611,-0.963177131,0.814464409,0.545838401,0.443113008,-0.669209197,-0.482715421,0.41823202,0.057789838,0.220548535,-0.401881927
0.066628685,0.104220758,-0.126609265,0.115482095,0.039189894,-0.006640792,-0.088400896,0.738413382,0.142385611,-0.963177131,0.814464409,0.546322974,0.228505658,-0.696221864,-0.690268642,0.083211034,0.194307638,-0.223077056,-0.798658859
0.042995453,0.104631287,-0.04721918,0.01147463,0.012374665,-0.16618367,0.011334648,0.558761084,0.273812358,-0.963177131,0.845003819,0.424695296,-0.068086522,-0.476261576,-0.386363475,0.246862032,0.452507667,-0.157650461,-0.424947544
0.049744786,-0.057177373,0.063934079,0.165849551,-0.060789769,-0.020315101,0.016184648,0.199456488,0.452417939,-0.777838501,0.631227952,0.061265979,-0.687795387,-0.05177681,1.109248681,-1.513747125,-0.943694946,0.859717147,1.23168287
