PCNM16,PCNM4,PCNM18,PCNM23,PRECCV,redundancy_sp
-0.121125932,0.064569817,-0.04822761,0.037512273,-0.777838501,-1.238315622
-0.144152794,0.060340894,-0.092373359,0.139001484,-0.963177131,0.873341095
-0.018815514,0.079717223,0.056996225,0.009888845,-0.963177131,-0.412263886
-0.019151349,0.079558186,0.056469579,0.009038112,-0.963177131,-0.266838145
0.03616961,0.074706629,0.100881028,-0.188795153,-0.963177131,0.592389616
-0.055504821,0.069150243,0.01449282,-0.092329705,-0.963177131,-0.584659779
-0.018567217,0.079976423,0.057989732,0.01107609,-0.963177131,-0.961250431
0.041803931,-0.068140335,-0.019064005,-0.020601976,-0.407161242,-0.435381437
0.041471678,-0.067954425,-0.01887787,-0.019965928,-0.407161242,0.799430147
0.040492036,-0.067271221,-0.018060993,-0.018246514,-0.036483982,-0.35128257
0.04080001,-0.067417429,-0.018197262,-0.018833883,-0.036483982,-0.129861879
-0.041814498,-0.062327304,-0.073676012,0.110039116,0.334193277,-1.36105775
-0.110888034,-0.057427471,-0.103106831,0.145237004,0.519531907,-0.877582223
0.042037516,-0.067785333,-0.018314396,-0.021436349,-0.407161242,0.006818221
0.042262194,-0.067820487,-0.018271893,-0.021947392,-0.407161242,-0.446337044
0.045990102,-0.095827189,-0.120897728,-0.238449824,-0.407161242,-0.443677102
0.027192366,-0.084758167,-0.03623849,-0.02473078,-0.407161242,-1.560442394
-0.143375341,-0.085677858,0.195065076,0.053358853,-0.407161242,0.143146334
-0.010079928,-0.128728083,0.041706155,-0.065496875,-0.777838501,0.688517216
-0.041479286,-0.119861426,0.055623269,-0.126657035,-0.777838501,0.366530804
0.116402919,-0.112648825,-0.119314825,0.005488321,-0.777838501,0.796610377
-0.057764265,0.049570671,0.013874775,-0.083040192,-0.777838501,-1.302856267
-0.124806884,0.048240857,-0.081807635,-0.111192427,-0.777838501,-1.466314693
0.178691113,-0.011588863,0.144906225,-0.061193776,0.334193277,-0.19274631
0.178729861,-0.011547293,0.144803948,-0.061169504,0.334193277,1.102601687
0.0105109,-0.079472776,-0.015590316,0.036566034,1.631563685,-1.649595821
-0.03183535,-0.088716866,-0.008508274,-0.008332249,1.631563685,-0.688828814
0.010511588,-0.079472528,-0.015590117,0.036566324,1.631563685,-1.169535242
