PCNM5,PCNM7,PCNM9,PCNM3,PCNM13,PCNM35,PCNM11,PCNM10,SAND,TEMPSD,ELEV,fdis_sp
0.120688171,0.068153058,0.044987847,0.013819502,0.108446014,-0.050820913,-0.001782468,0.013512342,1.485378913,-1.544956219,1.723341302,2.11471515
0.119723076,0.056103129,0.020172766,0.011961016,0.131242277,0.013521081,0.010631885,0.017321804,1.72075001,-1.398300214,1.970314256,2.050360275
0.118391599,0.044044036,-0.007258781,0.010030911,0.131519443,-0.017582406,0.022990469,0.020505778,1.955181502,-1.756792671,1.985750066,0.481601629
0.120939337,0.069527509,0.043555556,0.013820676,0.106783716,-0.050182196,-0.000966338,0.014092753,1.720280207,-0.958332198,1.183087963,0.124531756
0.120936729,0.069705085,0.043309037,0.013823468,0.106541414,-0.0500374,-0.000837849,0.014184245,1.367928266,-1.561251331,1.426201965,1.281327764
-0.207031746,0.068432844,-0.077436605,0.102327481,0.133725559,-0.013117352,0.044017654,0.026665854,-0.327589276,2.202919469,-0.78497777,-0.51247267
-0.212386364,0.072331777,-0.040485772,0.104013866,-0.112732797,0.012587329,0.125610527,0.005880591,-0.233628758,1.958492794,-0.78497777,0.624613743
-0.206731473,0.080264642,-0.082806032,0.104357822,-0.14699433,0.010323738,0.107493687,0.033951878,-0.421549793,1.958492794,-0.78497777,0.792146644
0.145198256,0.225740361,-0.136498473,0.005177866,0.071960698,0.147328216,0.051927878,0.06084897,0.893427652,1.306688326,0.168183477,-2.454531128
0.157278853,0.202697698,-0.082015542,0.004816576,-0.257546616,-0.126120701,0.062900101,0.048240736,-0.233628758,1.013376316,0.256939383,-0.666422352
0.155700168,0.188234437,-0.09029199,0.006132775,-0.337782449,0.114264215,0.07637365,0.051685317,-0.534302415,1.013376316,0.233785668,-1.883725456
-0.028087241,0.1964552,-0.032744681,0.004977723,0.22333612,-0.195566906,0.104714249,-0.017013733,0.029460691,1.502229666,-0.669209197,0.339581889
-0.028317105,0.209779302,-0.054981729,-0.003658067,0.199721092,0.026476277,0.134231916,-0.033610897,-0.252890664,1.502229666,-0.669209197,-0.311170234
-0.085330606,0.148262309,0.149450581,-0.128974098,-0.06484304,0.013225199,-0.113024857,-0.071278606,-1.379477271,0.231210955,-0.669209197,-0.305100154
-0.0854177,0.148298629,0.149583966,-0.129085196,-0.0649204,0.013315358,-0.113004403,-0.071198785,-1.191556236,0.231210955,-0.707798721,-2.018856046
0.014507304,-0.008134765,-0.175204453,-0.003639306,-0.018694822,0.010929771,-0.133760421,-0.490145839,-1.004105003,1.355573661,-0.707798721,-1.308905593
0.005842515,-0.036173369,-0.178066766,-0.007793189,-0.022822988,-0.007396112,-0.121566876,-0.508871074,-1.285986556,1.355573661,-0.707798721,-0.845150983
0.014507285,-0.008134532,-0.175202849,-0.00363929,-0.018694475,0.010930527,-0.133759093,-0.490140636,-0.72222345,1.355573661,-0.707798721,-1.348071
