PCNM10,PCNM5,PCNM7,PCNM15,TEMPSD,PRECCV,Ca,CLAY,ELEV,feve
0.039087697,0.121773161,0.018042997,0.207088774,-2.783384707,1.446225055,0.559563147,-1.828081894,2.225005116,1.309619789
0.011298122,0.151242228,-0.016061554,-0.017126334,-0.730200635,-0.592499871,0.394443108,-0.665108081,0.488476528,0.887359195
0.011236144,0.15108802,-0.01598064,-0.016612913,-0.371708178,-0.592499871,-0.254804393,-0.907394292,0.515489195,0.243294823
-0.028568988,-0.105811782,0.084333199,0.0032233,1.469639443,-0.963177131,-0.237393776,0.788609185,-0.5148511,0.010666446
-0.064268263,-0.093221027,0.066957912,0.137646626,1.094851874,-0.963177131,-0.359829723,0.545838401,-0.669209197,-0.381405251
-0.092563235,-0.126609265,0.066628685,0.076015322,1.094851874,-0.963177131,-0.359829723,0.546322974,-0.696221864,0.874478837
-0.050074789,-0.04721918,0.042995453,0.130021103,0.752654529,-0.963177131,-0.321638694,0.424695296,-0.476261576,0.754420999
0.029088989,0.063934079,0.049744786,-0.041358531,0.67117897,-0.777838501,-0.099793744,0.061265979,-0.05177681,0.634950708
0.039917283,0.075134928,0.052390172,0.055662133,0.18232562,-0.777838501,-0.295241953,-0.059877126,0.067850715,1.48911416
0.019180052,0.051609051,0.04800896,-0.148561018,0.345276737,-0.777838501,-0.355336661,-1.028537398,-0.155968526,-3.806865657
0.051826737,0.032777342,0.097923318,-0.159811773,0.345276737,-0.777838501,-0.264913783,0.30355219,-0.206134907,0.205013597
0.04315523,-0.035767174,0.024069264,0.060136887,1.225212768,-0.963177131,-0.30478971,0.424695296,-0.159827478,0.890867716
0.000185893,-0.04304004,-0.044638297,-0.05596366,1.225212768,-0.963177131,-0.257050924,0.424695296,-0.101943192,0.142313838
-0.073625664,-0.00560127,0.054391416,-0.040542746,0.752654529,-0.036483982,-0.184600294,1.253314138,-0.796554627,-0.350702185
-0.07444171,-0.003358609,0.05567452,-0.04986347,0.5734083,-0.036483982,-0.291310524,1.059485169,-0.796554627,0.711139538
-0.065676894,0.028245354,0.087141938,0.070861696,0.5734083,-0.036483982,-0.240763573,1.059485169,-0.703939769,-1.609774386
-0.068269814,0.038494524,0.091233244,0.085374311,0.166030508,-0.221822612,-0.285694196,1.059485169,-0.437672052,0.177134239
0.029208399,-0.050237595,-0.007551924,0.02578518,1.33927855,-0.963177131,-0.312652569,-0.059877126,-0.360493004,0.443786858
0.029149981,-0.050593758,-0.007544213,0.025910805,1.33927855,-0.963177131,-0.35309013,0.30355219,-0.360493004,0.655383877
-3.98E-05,-0.044650947,-0.044573277,-0.055331078,1.33927855,-0.963177131,-0.361514622,0.667466079,-0.437672052,1.085594854
0.020549164,-0.056096469,-0.006162937,0.04976648,1.062261651,-0.963177131,-0.36713095,0.788124612,-0.360493004,-0.593901149
-0.017559464,0.052268864,-0.047980148,0.079142694,-0.078396167,-0.963177131,-0.363761153,-1.51310982,0.924538151,1.571928991
-0.044576549,0.024720691,-0.114456524,0.028454961,-0.290232619,-0.777838501,-0.345788904,-1.852310515,1.0017172,0.79116936
-0.044603202,0.024846626,-0.1144745,0.028219807,-0.290232619,-0.777838501,-0.307597874,-1.610024304,1.171511106,-0.692992128
-0.030544897,0.038654755,-0.082251658,0.062966983,0.068259838,-0.777838501,-0.356459927,-1.416195335,1.059601486,1.3651879
-0.017521333,0.052147142,-0.047917096,0.079416312,-0.078396167,-0.963177131,-0.200326012,-1.537338441,0.74702634,-0.049295537
0.105422999,0.064966994,0.047258773,-0.189137489,1.013376316,-0.777838501,-0.360952989,-0.205248853,0.349554241,0.128978405
