PCNM10,PCNM5,PCNM46,PCNM36,PCNM7,PCNM8,PCNM4,TEMPSD,Mg,fdiv_sp
0.003850144,0.136341164,0.040658005,0.020825926,-0.152248526,-0.050482593,0.115381788,-0.567249518,-0.2516216,0.896092241
0.05046189,0.116239463,-0.102718049,-0.035572285,-0.08247487,-0.118674456,0.125301808,-0.844266417,-0.319856425,0.184283422
0.050480395,0.116048398,-0.005795558,-0.035431711,-0.082554882,-0.118445368,0.124863664,-0.844266417,-0.281015063,0.443611952
0.050507324,0.116063533,0.067132243,-0.035469468,-0.082851536,-0.118296588,0.124729585,-0.844266417,-0.219078837,1.884729234
0.038925283,0.071103654,-0.000184371,-0.104842551,-0.050380163,-0.027966083,0.072184508,-0.127281502,-0.292562495,1.353671464
0.081159098,0.085298038,-0.001160578,0.219544409,-0.072464067,-0.064753306,0.095993994,-0.713905523,-0.232725802,-0.738108031
-0.027500354,0.033120001,0.194686999,-0.000986701,0.125731903,-0.042510178,0.138492675,0.198620731,-0.367095919,1.40651856
-0.027683565,0.032590465,-0.157585927,-0.001670025,0.126078858,-0.041353121,0.138143364,0.198620731,-0.340851755,-1.312976092
-0.027789483,0.032660457,-0.036483809,-0.001118337,0.126337755,-0.041632367,0.138212049,0.08455495,-0.267368098,-1.344691611
0.099484772,-0.108995237,-0.000175851,-0.003751995,0.2112876,-0.188863879,0.074960722,0.557113189,-0.276815997,-0.727366034
0.077606617,-0.123390188,0.000207471,-0.012925629,0.204116035,-0.175626014,0.063906849,0.736359417,-0.308308993,-1.346161798
0.04145296,0.019753967,0.292315263,0.018850263,-0.13808751,0.10810236,-0.038356199,-0.192461949,-0.19388444,0.112242576
0.041506546,0.019302651,-0.021814232,0.017861933,-0.137602566,0.108687178,-0.038687379,-0.062101056,-0.369195452,1.727759214
0.041566115,0.018879023,-0.279692541,0.016797255,-0.137602966,0.109643644,-0.039253471,0.003079391,-0.346100588,-0.425439048
0.064674755,-0.001627653,0.027671122,-0.080578278,-0.115895352,0.094404761,-0.058733556,-0.176166837,-0.321955958,1.231673801
0.083184451,0.022571941,0.055513501,0.104708952,-0.076694349,-0.017619294,0.086016741,-0.453183736,-0.043767825,0.220794413
0.08325705,0.02241027,-0.05564137,0.103526534,-0.076768389,-0.017605228,0.085820449,-0.453183736,-0.320906191,0.818622434
0.093572633,0.029159398,-0.001517907,-0.264956393,-0.085629741,-0.023542957,0.091351672,-0.860561528,-0.247422534,0.518830748
0.012544486,-0.013069636,5.33E-06,-0.008129308,-0.068379205,0.102525996,0.064569817,-1.023512645,-0.293612261,-0.090574547
0.017034414,-0.00301414,4.07E-05,0.01397117,-0.059045909,0.105512935,0.060340894,-1.414595326,-0.399638682,-0.046042051
0.053967256,-0.044668071,0.027455742,0.00147474,-0.004258402,0.024320548,0.079717223,-0.045805944,-0.253721133,-0.155037462
0.053966658,-0.044478751,0.086020339,0.00060075,-0.004305698,0.024678916,0.079558186,-0.045805944,-0.291512728,0.572773787
0.033243106,-0.033523251,-0.168119672,0.047233197,-0.038919146,0.058573557,0.074706629,-0.159871726,-0.237974635,-0.411216457
0.006734927,-0.023967021,0.129622213,0.061081182,-0.074518454,0.094643892,0.069150243,-0.159871726,-0.237974635,0.575385781
0.053925838,-0.044933676,-0.080467061,0.004522288,-0.004449202,0.023838824,0.079976423,-0.045805944,-0.329304324,0.52492959
0.013943634,0.121196099,0.014573561,-0.047609266,0.070099259,-0.001163316,-0.068140335,-1.26793932,-0.302010394,0.379813267
0.013806007,0.121081517,0.002951487,-0.047085466,0.069565598,-0.001291678,-0.067954425,-1.26793932,-0.323005724,0.685784352
0.013352065,0.120554762,-0.03168335,-0.044984161,0.06769155,-0.001923361,-0.067271221,-1.544956219,-0.261069499,0.76766699
0.013512342,0.120688171,-0.022289485,-0.045345853,0.068153058,-0.001841536,-0.067417429,-1.544956219,-0.27576623,0.990290534
0.017321804,0.119723076,6.88E-05,0.005967699,0.056103129,0.017706589,-0.062327304,-1.398300214,-0.225377436,-0.441836335
0.020505778,0.118391599,-0.000132487,-0.022285116,0.044044036,0.037160788,-0.057427471,-1.756792671,-0.339801989,1.72601833
