PCNM4,PCNM2,PCNM6,PCNM16,PCNM5,PCNM9
0.003900175,-0.134628114,-0.028092713,-0.070872257,0.045388591,0.179857403
0.009307226,-0.126827264,-0.04992381,0.037128317,0.037732017,0.168022253
-0.010982297,-0.142310192,-0.038058541,-0.202135031,0.059369703,0.189577704
-0.169022679,-0.077880388,-0.130032691,-0.1147331,0.132917416,0.040836367
-0.163671124,-0.062351089,-0.124036209,-0.031183435,0.121773161,0.014871309
-0.173147023,-0.113376653,-0.142274515,0.046409885,0.151242228,0.130461491
-0.173065784,-0.113170119,-0.142171602,0.046492135,0.15108802,0.130256293
0.091624798,-0.079259478,-0.004090991,-0.089189988,-0.105811782,0.009865141
0.099533098,-0.087771551,0.025330789,0.056936245,-0.093221027,0.070796923
0.104220758,-0.068837746,-0.001809755,0.148224689,-0.126609265,0.095752344
0.104631287,-0.100994924,0.08828469,0.098931216,-0.04721918,0.072830657
-0.057177373,-0.189011018,-0.002398163,0.054749512,0.063934079,-0.075753276
-0.069776994,-0.191886207,-0.020756192,0.036271103,0.075134928,-0.071491853
-0.043984908,-0.185484028,0.016978176,0.119904346,0.051609051,-0.086531213
-0.031186779,-0.185103102,0.0248081,0.156752112,0.032777342,-0.049148092
0.026045777,0.101448688,-0.043357701,0.118753352,-0.035767174,-0.124827933
0.035950719,0.084490295,-0.077082983,0.095558821,-0.04304004,-0.025040018
0.048752182,-0.047829435,0.085924392,0.021481527,-0.00560127,0.095988433
0.057443621,-0.046039796,0.077219168,0.032597643,-0.003358609,0.10039246
0.102054594,-0.043419135,0.101926877,-0.120424048,0.028245354,0.148125356
0.113309298,-0.042890417,0.10910854,-0.04174047,0.038494524,0.147405131
0.034511482,0.095768079,-0.063921573,0.053794097,-0.050237595,-0.104370042
0.034596515,0.095567713,-0.064183665,0.054087329,-0.050593758,-0.104664068
0.036342238,0.083613919,-0.078258658,0.096845158,-0.044650947,-0.026430937
0.046640318,0.063544709,-0.060060887,-0.022128992,-0.056096469,0.090297407
0.036944831,0.076389823,0.060404351,0.018090475,0.052268864,0.072940457
0.054415068,0.066003673,0.019545653,-0.025052476,0.024720691,0.113739155
0.054312961,0.065970547,0.019636046,-0.025492974,0.024846626,0.11384384
0.045723306,0.071610142,0.039427435,0.040879676,0.038654755,0.092404509
0.037034624,0.076415223,0.060335227,0.018570643,0.052147142,0.072790812
-0.015588075,0.128479681,0.044705156,-0.303099483,0.064966994,-0.180225997
0.046757343,0.042391108,-0.022456481,-0.129321905,-0.04837587,0.050198615
0.048576083,0.046709311,-0.031345967,0.032510627,-0.055528704,0.071938684
0.036599956,0.0704232,-0.086836654,-0.057543274,-0.035663179,0.060960755
0.036842024,0.070316159,-0.086244279,-0.058367889,-0.035301518,0.061682051
0.035679574,0.071910851,-0.085393455,-0.059059269,-0.033298633,0.062650719
0.036519389,0.071037958,-0.084874817,-0.059943936,-0.033636017,0.063254561
0.027914611,0.083824977,-0.060546923,0.120743264,-0.02489136,-0.003353789
0.105945537,0.04029913,-0.072044118,0.002800256,0.019252621,-0.004383195
0.110523003,0.038110093,-0.061224434,0.020031274,0.019626065,0.018779587
0.114269153,0.035841681,-0.049171408,0.031543872,0.019334612,0.042525885
0.11424833,0.035867541,-0.049171657,0.031645444,0.019328833,0.042086525
0.130446456,0.014049008,-0.088582902,-0.115469889,0.115969589,-0.095861538
0.130467877,0.013992472,-0.088199118,-0.115138738,0.116070785,-0.095468031
0.115436765,0.00493961,-0.021420213,0.07724446,0.136273313,-0.08184801
0.115381788,0.004868938,-0.020919726,0.078215164,0.136341164,-0.081374671
0.125301808,-0.002538026,0.010143686,0.118359727,0.116239463,-0.046220992
0.124863664,-0.002652375,0.010923274,0.119696228,0.116048398,-0.045569502
0.124729585,-0.002637674,0.01086496,0.119873469,0.116063533,-0.045862437
0.072184508,-0.009704367,0.023944942,-0.190398756,0.071103654,0.068346466
0.095993994,-0.005388049,0.004479701,-0.109012062,0.085298038,-0.009368133
0.138492675,0.0225813,-0.061035698,-0.057926989,0.033120001,0.071972807
0.138143364,0.022731226,-0.0614028,-0.057335274,0.032590465,0.072140934
