cwm_af,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
54949.43429,16.59380952,385.7290476,0.486666667,24.52333333,1.134285714
531256.2439,11.93722222,428.5294444,0.484444444,21.71,0.955555556
253122.5362,14.91230769,388.1619231,0.508076923,24.35653846,1.105
714284.2874,13.9,398.7378261,0.486086957,20.7373913,1.02
208666.8783,16.27,368.1929167,0.42,27.29416667,1.23625
233169.3248,13.8369697,422.0563636,0.506969697,26.61363636,1.128787879
1164872.043,11.626,430.2216,0.5104,23.0396,1.0144
1341669.721,12.13382353,420.8017647,0.484117647,23.215,1.072058824
482601.9146,13.43076923,394.9319231,0.484230769,23.99346154,0.994230769
980774.2475,10.90588235,426.3692157,0.549215686,21.54705882,0.977058824
455360.7257,12.44486486,428.0078378,0.514054054,24.27216216,1.069459459
851307.9211,12.38085714,414.3274286,0.556285714,21.35371429,0.95
901479.0593,12.87204545,425.9381818,0.519090909,23.36522727,1.019318182
2037375.776,9.999555556,433.486,0.400888889,19.44977778,0.918888889
1672529.369,11.32557692,425.7257692,0.4625,22.36,1.068269231
1335423.299,11.21433333,432.6185,0.4795,23.23916667,1.061666667
1739621.542,10.93759259,436.6533333,0.419444444,20.96018519,0.942407407
1480755.856,11.1484375,421.4798438,0.45625,21.44734375,0.97265625
1416374.147,11.79294118,419.9217647,0.428431373,22.68078431,1.050588235
1158025.46,10.51820513,423.1533333,0.561025641,20.07384615,0.887435897
1992441.561,10.4998,431.4936,0.4596,20.8544,1.0148
1223139.175,11.61087719,426.1591228,0.443508772,22.10070175,0.97877193
1637929.25,10.37530612,440.1381633,0.503877551,20.48183673,0.984489796
1637262.205,10.49823529,431.7639216,0.427843137,21.20039216,0.968039216
805986.3978,10.63459459,425.4359459,0.523513514,22.15351351,0.921351351
1007956.646,11.91895833,436.2585417,0.507291667,23.0575,1.023333333
1571739.317,11.06428571,427.4284127,0.386190476,23.05380952,1.034603175
1630182.669,11.45283333,423.84,0.409,20.71816667,0.985333333
1573627.383,11.42769231,428.2026923,0.426538462,22.62653846,1.019038462
1845739.064,10.60659574,432.6882979,0.336808511,22.34851064,0.948510638
1648512.928,11.55788462,420.7325,0.384423077,22.22692308,1.04
1467561.195,11.12918367,425.2285714,0.45755102,21.64979592,0.983469388
1411368.904,11.07938776,431.0195918,0.486326531,21.79714286,0.981836735
1290453.918,10.19682927,443.5629268,0.55195122,20.49097561,0.85
1187157.867,12.20454545,424.9193939,0.40969697,24.51151515,1.057878788
1637883.478,11.43055556,429.395,0.496851852,21.42462963,0.987777778
1563511.588,10.22021739,421.3354348,0.511304348,20.00173913,0.947826087
1642694.275,10.25135593,423.6364407,0.421525424,20.00610169,0.934067797
290331.0938,15.64208333,369.70625,0.482083333,26.79291667,1.292083333
59998.10517,17.11689655,390.6906897,0.530344828,23.19758621,1.186896552
1003793.841,12.4227907,428.457907,0.543488372,21.77232558,1.000465116
1098933.557,13.13291667,394.0870833,0.409583333,24.52166667,1.198333333
974659.776,10.94475,436.019,0.59025,21.42525,0.9575
443105.8555,13.56103448,408.28,0.566896552,22.18965517,0.897931034
1171271.405,11.58117647,430.9670588,0.550294118,21.06558824,0.974117647
1127885.113,12.48433333,394.4473333,0.432333333,22.06966667,1.143
1516293.797,11.28909091,425.7768182,0.464090909,20.96136364,1.067727273
622951.3439,14.89826087,376.4991304,0.445217391,22.7326087,1.190434783
623513.7452,13.5312,401.2328,0.428,20.0696,1.1328
1111531.814,13.64291667,421.4545833,0.492083333,22.90541667,1.169166667
1216074.276,12.2430303,422.5987879,0.535151515,22.94606061,1.076363636
493815.46,15.32,409.57,0.514375,24.819375,1.018125
792909.2024,13.99382353,387.9264706,0.439705882,22.67558824,1.112941176
1208614.48,13.49235294,388.9255882,0.372352941,25.19352941,1.166764706
1208940.696,13.58179487,398.2879487,0.451025641,23.24153846,1.074615385
599907.5293,17.14413043,395.655,0.41326087,27.06130435,0.956304348
879652.6177,12.33516129,410.4483871,0.382580645,25.51967742,1.139354839
977089.6588,13.470625,403.58,0.4309375,25.82375,1.1075
719233.5687,12.95,416.406,0.430333333,25.25866667,1.073
1351534.057,14.2702439,377.8478049,0.324390244,25.59829268,1.172682927
1557337.681,12.85090909,396.5106818,0.3275,23.78409091,1.142954545
1468695.474,11.53468085,416.4055319,0.357021277,22.80638298,1.047446809
883607.2524,11.84815789,428.0939474,0.421842105,25.05842105,1.024473684
159406.4236,12.83,423.465,0.502142857,27.38714286,1.0975
269794.151,14.04258065,405.8067742,0.460645161,27.25870968,1.149354839
668428.7761,12.85818182,419.0869697,0.44030303,26.32757576,1.133333333
