,ABARAD,ABARRA,ALCOFL,AMPEMA,ANDIIN,ANNOMO,APEIME,ARDIFI,ASPI01,ASPISP,ASPISR,BALIEL,BEIL01,BEILCO,BILLCO,BROSGU,BROSLA,BROSPA,BYRSAR,BYRSSP,CALOBR,CALTCO,CARAGU,CASEAR,CASESP,CECRIN,CECROB,CECRPE,CEDROD,CEIBPE,CESPSA,CHIMPA,CHRYCO,CLETCO,COCCTU,COJOCA,COJOCO,CONCPL,CONORU,CORDBI,CORDCY,CORDLU,CORDME,CORDSP,COUEPO,COUMMA,CROTSM,CUPALI,CUPASP,CYNORE,DENBBO,DENDAR,DENDSP,DIALGU,DICHMO,DIPTPA,DUSS01,DUSS02,DUSSMA,DYSTPA,ELAEGL,ENTESC,ESCH01,ESCH02,ESCH03,ESCHCA,ESCHIN,ESCHLO,EUGE01,FICUSP,GARCMA,GARCSP,GOETME,GRIACA,GUAR01,GUAR02,GUAR03,GUARBU,GUARGE,GUARGL,GUARGR,GUARHO,GUARKU,GUATAE,GUATRE,GUETSP,HAMPAP,HERNDI,HIRTME,HIRTSP,HIRTTR,HUMIDI,HYERAL,HYEROB,HYMEME,ILEXSK,INGA01,INGA02,INGA03,INGA04,INGA05,INGA06,INGA07,INGA08,INGA09,INGA10,INGAAC,INGAAE,INGAAL,INGACH,INGAJI,INGALE,INGAMO,INGAOE,INGAPE,INGASE,INGATH,JACACO,JACTCO,LACMPA,LACUPA,LAETPR,LECOAM,LECYAM,LICNAF,LICNHY,LICNKA,LICNSA,LICNSP,LONCFE,LONCSP,MACAMA,MACRCO,MACRHA,MACRSP,MANICH,MANIST,MANIZA,MARAPA,MARILA,MATASP,MAYTGU,MICOMU,MICRCR,MICRME,MINQGU,MORTAN,MOURGL,NAUCNA,NECTSP,OCHRPY,OCOTAT,OCOTIN,OCOTMA,OCOTSP,ORMOCC,ORMOIN,OTOBNO,PACHAQ,PARATR,PENTMA,PERAAR,PESCAR,PODOGU,POSOLA,POURBI,POURMI,POUT01,POUT02,POUT03,POUT04,POUT05,POUT06,POUT07,POUT08,POUT09,POUT10,POUT11,POUT12,POUT13,POUT14,POUT15,POUT16,POUT17,POUT18,POUTBE,POUTCA,POUTCM,POUTCU,POUTDU,POUTFP,POUTRE,POUTSI,POUTSP,POUTTO,PRADAT,PROTPA,PROTPI,PROTRA,PROTSC,PROTSP,PSEUSU,PSYCPA,PTEROF,PTERRO,QUALPO,QUARBR,QUAROB,QUETOC,RICHOB,ROLLPI,RUPTCA,SACOTR,SAPIGL,SAPIRI,SAPISP,SCLECO,SIMAAM,SLOAGU,SLOAMI,SLOARU,SLOASP,SPACCO,SPONMO,STEPCO,STERRE,STRYMI,SWARSP,TABECH,TABRAL,TALAGL,TAPIGU,TAPUGU,TERMAM,TERMBU,TERMOL,TERMSP,TETRPA,THEOAN,THEOSP,TOVOWE,UNONPI,UNONSP,VANTOC,VATALU,VIROKO,VIROMU,VIROSE,VIROSP,VITECO,VOCHAL,VOCHFE,VOCHGU,XYLOSE,ZANTPA,ZYGISP
F42P4,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,0.5028,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8172,0.336,,,,,,,,0.3848,,,,,,,,,,,,,,0.5808,,,,,,,,,,,,,0.298,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,1.1308,0.2828,,,,,,,,,,,,,,,0.6084,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,1.9708,,,,
F43P1,,,,,,,0.2828,,,,,,,,,,0.306,,,,,,3.1416,,,,,,,,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,0.742,,,,,,,,,,,,,0.554,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,0.3652,,,,,,,,,,,,,,,0.2848,,,,,,,,,,,,,,,,0.6764,,,,,,,,,,,,,,0.3848,,,,0.3848,,0.3872,,,,,,,,,,,,,,,,0.7668,,,,,,,,,,,,,0.304,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,,,,
F43P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,0.302,,,,,1.5392,,,,,,,,,,,,,,,,,0.4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7544,,,,,,,1.1308,,,0.554,,,,,,,,,,,0.636,,,0.3848,,,,,0.3216,,,,,,,,,,,,,0.2828,,,,,,,,,0.3632,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,0.298,0.298,,,,,,,,,,,,,,,0.5152,,,,,,,,,,,,,,,,,,,0.4256,0.4072,,,,,,,,,,0.5332,,,,,,,,,,,,,
F43P3,,,,,,,,,,,,,,,,,0.398,,,,,,,,,,,,,,,,,0.4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5412,,,0.296,,,,,,,,,,0.34,,,0.8464,0.3296,,,,,,,,,0.724,,,,,,,,,1.5392,,,,,,,,,,,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4876,0.4208,0.3276,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,1.1308,0.3548,,,,,,,,,,,,,,,,,,,,,,,
F44P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,,,,,,,,,0.886,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3116,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,,,,,,,,,,0.4348,0.342,,,,,,0.6648,,,,,,0.7852,,,,0.3524,,,1.3068,,,,,
F44P2,,,,,,,,,,,,,,,,,,,,,,,0.5128,,,,,,,,,,,,,,,,,,,,,,,1.4312,0.478,,,,,,,0.306,,2.27,,,,,,,,,,,,,,,,,,,,,,0.5836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4464,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,0.374,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,0.304,,,,,,,,,,,,,,,,,,,,,,,,
F44P3,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6588,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,0.296,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,1.4956,,,,,,,,,,,,
F44P4,,,,,,,,,,,,,,,,0.3848,0.4656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7668,,,,,,,,,,3.5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,,,,,0.636,,,,,,,,,,,,,1.7672,,,,,
F45P1,,,,,,,,,,,,,,,,0.9956,0.4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3276,,,,,,,,,,1.1308,,,,,0.636,,,0.3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8108,,,,,,,,,,,,,,,,,,,,0.554,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,,,,,,,,,0.528,,,,,,,,,,,,0.694,1.3272,,,,,,,,,,,
F45P2,,,,,,,,,,,,,,,,0.6648,0.554,,,,,,0.4752,,,,,,,,,,,,,,,,,,,,,,,,0.294,,,,,,,,,1.606,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,,,,0.57,,,,0.3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,0.3848,,,,,,,,,0.554,,,,,,0.298,,,,,,0.4184,,,,,,,,,,,,,,,,,,,,0.3848,,,,,0.7852,,,,,,,,,,,,,,,,,,
F46P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,0.9504,,,,,0.7852,0.4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.876,0.4488,,,,,,,,,,,,,0.3588,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4704,,,,,,,,,,,,,,,,,,
F46P2,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5464,,1.2076,0.302,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3892,,,,,,,,0.8172,,0.2924,,,,0.43,,,,
F47P1,,,,,,,,,,,,,,,,0.3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,1.0208,,,,,,,,,,,,0.4072,,3.3328,,0.712,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,0.5028,,,,,,,,,,,,,0.302,,,,,
F47P2,,,,,,,,,,,,1.1424,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,2.5448,,,,,0.4256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3916,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3296,,,,,,,,,,,,,,,,,,,,0.5,0.5028,,,,,0.306,,,,,,,,,,,,,,,,,,,0.8824,,,,,
F47P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5864,,,,,,,,1.7672,,1.0568,,,,,0.332,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,0.3484,,,,,,,,,,,,0.3484,,,,,,,,,,,,,,,,,,
F48P1,,,,,,,,,,,,1.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,0.4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3136,,,,,,,,,,,,,0.7852,,,,,,0.5028,,,,,,,,,,,,,,,,,0.304,,,0.5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852,,,,,,,,0.5028,,,,
F48P2,0.7852,,,,,,,,,,,,,,,,0.3548,,,,,,,,,,,,,,0.43,,,0.528,,,,,,,,,,,,,,,,,,,,0.302,,0.9504,,,,,1.1308,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,0.6476,,,,,,,,0.6056,,,,,,,,,,,,,,,,,,,,,,,,,,1.1424,,0.636,,
F49P1,,,,,,,,,,,,,,,,,0.2828,,,,,,2.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,,,,0.3524,,,,,,,,,,,,0.3464,,,,,0.332,0.3256,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,
F49P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,0.9504,,,,,,,0.5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7148,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,0.5864,,,,,,,,0.43,,,,0.3632,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,0.4348,,,,,
F49P3,,,,,,,,,,,,,,,,0.396,2.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4232,,,,,,,,,,,,,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,0.4952,,,,,,,,,,,,,,,,,,,,,,,0.3916,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,,
F4P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4348,,,,,,,,,,,,,,,,2.4884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3504,,,,,0.342,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5308,,,,,,,,,,,,,,,,,,,,0.7328,,,,,,,,,,,,,,,,,,
F4P2,,,,,,,1.5176,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4584,,,,0.8924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5128,,,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,0.4536,,,,0.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3568,,,,,,,,,,,,,,,,,,,,0.748,,,,,,,,,,,,,,,,,,
F50P1,,,,,,,,,,,,,,,,,,,,,0.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3136,,,,,0.8076,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,0.5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,0.4584,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,,,,,,,,,,0.8496,,,,,,,,0.294,,,,
F50P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,1.1308,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,,,0.3236,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6504,,,,,,,,,,,,,,0.8824,,,,
F50P3,,,,,,,,,0.2848,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5076,,,,,,,,,,2.0156,,,,,0.3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2848,,,,,,,,,,,0.3784,,0.3216,,,,,,0.9504,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,,,,,,,,,,,,,,,,0.5568,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,0.4952,,,,,,0.4116,0.554,,,,,,,,,,,
F50P4,,,,,,,,,,,,,,,,,,,,,,,1.7672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4528,,,,,,,,,,,
F51P1,,,,,,,,,,,,,,,,0.4704,,,,,,,,,,,,,,,0.5028,,,0.3848,,,,,,,,,,,,,,,,,,,,0.7,,1.6832,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4804,,,,,,,,,,,,0.554,1.5392,,,,,1.0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,0.636,,,,,,,,,,,,,,,1.0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5076,,,,0.414,,,,,,,,1.1308,,,,,,1.3068,,,,
F51P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,,,0.3116,,1.2468,,,,,0.8204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3588,0.4028,,,,,,,,,,,,0.3848,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5516,0.7512,,,,,,,,,,,
F51P3,,,,,,,,,,,,,,,,,0.536,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,2.3944,,,,,0.3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3296,0.2884,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,0.5864,,,,,,,,0.4072,,,,,,,,,,,,,,,,,,,,,,,,,,3.1732,0.5516,,,,,,,,,,,,,,,,,,,,0.396,,,,,,0.2828,,0.528,,,,,1.2352,,,,,
F52P1,,,,,,,0.5028,,,,,,,,,,,0.8496,0.7852,,,0.342,,,,,,,2.0108,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6648,,,,,,,,,,0.3848,,,,,,,0.5028,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4072,,,,,,,,,,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,
F52P2,,,,,,,,,,,,,,,,,,,0.6648,,0.9504,,0.3632,,,,,,,,,,,0.554,,,,0.7852,,,,,,,,,,,0.636,,,,,,,,,,0.3276,,,,,,0.2828,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6164,,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7544,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,0.3848,,0.3848,,,,,,,0.9504,,,,,,0.396,,,,,,,,,,,,,,3.2684,,,,,1.6288,,1.7672,,,,,,,,,,,,,,,,,2.5448,,,,,
F52P3,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3716,,,,,,,,,,,,,,,,,,,0.468,,,,,,0.302,,,,,,,0.2864,,,,,,,,,,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,0.5028,,,,,,,0.3568,,,,,,,0.7852,,,,,,,,1.4528,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,0.6248,,,,
F52P4,,,,,,,,,,,,,,,,,,,,,,,1.7112,,,,,,3.5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4608,,,,,,3.2556,,,,,,,,,,,,,,,,0.4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,0.3096,,,,,,,,,,,,,2.5448,0.636,,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,
F52P5,,,,0.3156,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3684,,0.5028,,,,0.5808,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6056,,,,,,,,,,0.3848,,0.3848,,,,,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,0.3848,,,,,,,0.5808,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,3.1732,0.5028,,,,,,,,,,,,,,,,,,,2.6016,,,,
F52P6,,,0.8496,,,,,,,,0.3632,,,,,,,,,,,,2.0108,,,,,,,,,,,0.2884,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,0.9852,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,0.3848,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8172,,,,,,,0.3176,0.302,,,,,,,,0.7852,,,,,,,,,,,0.554,,,,0.694,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,
F52P7,,,,,,,,,,,,,,,,,0.3176,,,,,,,,,,,,,,0.3076,,,,,,,,,,,,0.554,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4232,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1124,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,0.4464,,,,
F53P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,0.3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4104,,,,,,,,,,,,,,,0.554,,,,,,,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,0.4656,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,0.3136,,,,,
F53P2,,,,,,,,,,,,,,,,,,,,,,,0.9888,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,0.724,,,,,,,,,,,,,,,,,,,,,,3.1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3484,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,
F54P1,,,,,,,0.342,,,,,,,,,,,,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,0.8496,,,,,,,,,,,,,,,,,,,,,0.3848,,,1.3272,,,,,,,0.8496,,,,,,0.3216,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0208,,,,,,,,,,,,,,,,,,,,,,,,0.7512,,,,,
F54P2,,,,,,,,0.3216,,,,,,,,,,,0.8172,,,,,0.636,,,,,,,,,,,,,,,,,,0.6648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,0.5808,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6648,,,,,,,,,,,,,,0.3216,,,,,,,,,,0.7852,,,,,
