,ABARAD,ABARRA,ALCOFL,AMPEMA,ANDIIN,ANNOMO,APEIME,ARDIFI,ASPI01,ASPISP,ASPISR,BALIEL,BEIL01,BEILCO,BILLCO,BROSGU,BROSLA,BROSPA,BYRSAR,BYRSSP,CALOBR,CALTCO,CARAGU,CASEAR,CASESP,CECRIN,CECROB,CECRPE,CEDROD,CEIBPE,CESPSA,CHIMPA,CHRYCO,CLETCO,COCCTU,COJOCA,COJOCO,CONCPL,CONORU,CORDBI,CORDCY,CORDLU,CORDME,CORDSP,COUEPO,COUMMA,CROTSM,CUPALI,CUPASP,CYNORE,DENBBO,DENDAR,DENDSP,DIALGU,DICHMO,DIPTPA,DUSS01,DUSS02,DUSSMA,DYSTPA,ELAEGL,ENTESC,ESCH01,ESCH02,ESCH03,ESCHCA,ESCHIN,ESCHLO,EUGE01,FICUSP,GARCMA,GARCSP,GOETME,GRIACA,GUAR01,GUAR02,GUAR03,GUARBU,GUARGE,GUARGL,GUARGR,GUARHO,GUARKU,GUATAE,GUATRE,GUETSP,HAMPAP,HERNDI,HIRTME,HIRTSP,HIRTTR,HUMIDI,HYERAL,HYEROB,HYMEME,ILEXSK,INGA01,INGA02,INGA03,INGA04,INGA05,INGA06,INGA07,INGA08,INGA09,INGA10,INGAAC,INGAAE,INGAAL,INGACH,INGAJI,INGALE,INGAMO,INGAOE,INGAPE,INGASE,INGATH,JACACO,JACTCO,LACMPA,LACUPA,LAETPR,LECOAM,LECYAM,LICNAF,LICNHY,LICNKA,LICNSA,LICNSP,LONCFE,LONCSP,MACAMA,MACRCO,MACRHA,MACRSP,MANICH,MANIST,MANIZA,MARAPA,MARILA,MATASP,MAYTGU,MICOMU,MICRCR,MICRME,MINQGU,MORTAN,MOURGL,NAUCNA,NECTSP,OCHRPY,OCOTAT,OCOTIN,OCOTMA,OCOTSP,ORMOCC,ORMOIN,OTOBNO,PACHAQ,PARATR,PENTMA,PERAAR,PESCAR,PODOGU,POSOLA,POURBI,POURMI,POUT01,POUT02,POUT03,POUT04,POUT05,POUT06,POUT07,POUT08,POUT09,POUT10,POUT11,POUT12,POUT13,POUT14,POUT15,POUT16,POUT17,POUT18,POUTBE,POUTCA,POUTCM,POUTCU,POUTDU,POUTFP,POUTRE,POUTSI,POUTSP,POUTTO,PRADAT,PROTPA,PROTPI,PROTRA,PROTSC,PROTSP,PSEUSU,PSYCPA,PTEROF,PTERRO,QUALPO,QUARBR,QUAROB,QUETOC,RICHOB,ROLLPI,RUPTCA,SACOTR,SAPIGL,SAPIRI,SAPISP,SCLECO,SIMAAM,SLOAGU,SLOAMI,SLOARU,SLOASP,SPACCO,SPONMO,STEPCO,STERRE,STRYMI,SWARSP,TABECH,TABRAL,TALAGL,TAPIGU,TAPUGU,TERMAM,TERMBU,TERMOL,TERMSP,TETRPA,THEOAN,THEOSP,TOVOWE,UNONPI,UNONSP,VANTOC,VATALU,VIROKO,VIROMU,VIROSE,VIROSP,VITECO,VOCHAL,VOCHFE,VOCHGU,XYLOSE,ZANTPA,ZYGISP
F2P2,,,,,,,,,,,,,,,1.2788,,,,,,,,,,,,,,,,0.5128,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2732,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2P3,,,0.6912,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2884,,,,,,,0.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,0.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,0.294,,,,,,,,,,,,,,,,,,,0.4704,,,,,,,,,,,,,,,,0.398,,,,,,,,,0.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F30P1,,,,,,,,,,,,,,,,,1.0936,,,,,,,,,,,,,,,,0.724,,,,,,,,,,,,0.636,,,,0.3116,,,,,,,,,,,,0.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6736,0.5596,,,,,,,,,,,,,0.5256,,,,,0.3196,,,,,,,,,,,,,,,,,0.3568,0.3256,,,,,,,,,,,,,,,,,,,,,,,,,,0.3632,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,0.4416,0.4072,,,,,,0.5028,,,,,,,,,,,,,,,,,,
F30P2,,,,,,,,,,,,0.8076,,,,0.4536,0.302,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,
F30P3,,,,,,,,,,,,,,,,,,,,,,,0.3548,,,,,,,,,,,,,,,,,0.4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4116,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,,,,,,,,,,,,,0.636,,,,,1.2076,,,,,,,,,,,,,,,,,0.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,0.8012,,,,,,,,,,,,,,,,,,,,,,,,
F30P4,,,,,,,,,,,,3.0112,,,,,0.4324,,0.866,,,,0.5836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,,,,,,,,,,,0.4072,,,,,,,,,,,,,,0.338,,,,,,,,,,,,,,0.8108,,,,,,,,,,,,,,,,,,,0.2884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3156,,,,,,,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,0.2848,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,,,0.3216,,,0.374,,,,,,,,0.296,,,,,,,,,1.444,,,,
F31P1,,,,,,,,,,,,,,,,,,,,,0.296,,,,,0.636,,,,,,,2.8352,,,,,,,,,,,,,,,,,,,,,,,,0.306,,,,,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4276,,,3.1416,,,,,,,0.3872,,,,,,,,,0.2828,,,,,0.5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,,,1.064,,,,1.7672,,,,,,0.3872,,,,,,,,,,0.528,,0.528,,,,,,0.3848,,,,,,,,,,,,,,,0.5676,,,0.73,,,,,
F31P2,,,,,,,0.396,,,,,,,,,,,,,,,,,0.3216,,0.302,0.444,,,,,,0.3696,,,,0.4072,,0.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4184,,,,,,,,,,,,,,,,,,,,,,,3.1732,,,,,,,,,,,,,,1.0568,,,,,,,,,,,,,0.8108,,,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,,,,,,0.4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,0.622,,0.3848,,,,,,
F32P1,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2048,,,,,0.3116,0.342,,,,0.302,,,,,,,,,,,,,,,,,,0.554,,,,,,,,,,,,0.5028,,,,,,0.3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,1.5392,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F32P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3156,0.3216,,,,,0.3848,,,0.302,,,,,,,,,0.3848,,,,,,,,,,,0.478,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,,,,0.5028,,,,,0.4072,1.5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
