familia,especie,coespec,af,afe,cfms,dm,n,p
ELAEOCARPACEAE,Sloanea_rugosa,SLOARU,15102.32,13.08,450.89,0.77,19.45,0.75
BURSERACEAE,Protium_schippii,PROTSC,12438.36,13.94,480.49,0.51,2.3,1
FABACEAE/MIM.,Enterolobium_schomburgkii,ENTESC,8408.24,6.58,548.59,0.58,34,0.9
MYRISTICACEAE,Virola_sebifera,VIROSE,19451.62,17.19,320,0.37,27.17,1.07
ANNONACEAE,Xylopia_sericophylla,XYLOSE,1955.46,15.99,450,0.54,23.92,0.81
FABACEAE/MIM.,Inga_sertulifera,INGASE,6039.6,17.13,483.37,0.58,25.5,1
SAPOTACEAE,Pouteria_silvestris,POUTSI,2691,8.78,487.75,0.73,14.5,0.6
AQUIFOLIACEAE,Ilex_skutchii,ILEXSK,4291.74,15.81,420,0.42,24.09,1.01
EUPHORBIACEAE,Croton_smithianus,CROTSM,37525.13,18.44,260,0.33,37.2,2.27
APOCYNACEAE,Aspidosperma_sp.,ASPISP,9926.17,11.45,380,0.67,18.64,0.69
LAURACEAE,Beilschmiedia_sp.,BEIL01,7626,9.4,461.45,0.59,23.7,0.9
MALPIGHIACEAE,Byrsonima_sp.,BYRSSP,7157.64,11.74,425.4,0.48,28.1,1.1
FLACOURTIACEAE,Casearia_sp.,CASESP,3589.07,19.3,440,0.57,32.58,1.05
BORAGINACEAE,Cordia_sp.,CORDSP,23962.24,11.54,372,0.36,25.15,1.05
SAPINDACEAE,Cupania_sp.,CUPASP,29047.2,17.7,313.95,0.59,21.9,1.4
ARALIACEAE,Dendropanax_sp.,DENDSP,12244.48,17.37,250,0.42,22.27,1.11
MORACEAE,Ficus_sp.,FICUSP,9257.55,17.77,421.93,0.63,24.64,0.95
CLUSIACEAE,Garcinia_sp.,GARCSP,5519.12,9.93,482.13,0.66,18.5,1
RUBIACEAE,Guettarda_sp.,GUETSP,15870.72,14.17,332.85,0.63,23.74,0.88
CHRYSOBALANACEAE,Hirtella_sp.,HIRTSP,2952.09,13.22,428.6,0.74,18.89,0.64
CHRYSOBALANACEAE,Licania_sp.,LICNSP,4744.92,8.11,531.27,0.79,17.9,0.6
