cwm,plot,traits,forest_type,longitude,latitude
431.8008333,F30P2,cfms,P. macroloba,-84.0610744,10.3887788
0.4725,F30P2,dm,P. macroloba,-84.0610744,10.3887788
23.28666667,F30P2,n,P. macroloba,-84.0610744,10.3887788
0.985833333,F30P2,p,P. macroloba,-84.0610744,10.3887788
612575.1836,F30P3,af,P. macroloba,-84.0609103,10.3858604
12.51214286,F30P3,afe,P. macroloba,-84.0609103,10.3858604
423.9078571,F30P3,cfms,P. macroloba,-84.0609103,10.3858604
0.572857143,F30P3,dm,P. macroloba,-84.0609103,10.3858604
22.94142857,F30P3,n,P. macroloba,-84.0609103,10.3858604
0.851428571,F30P3,p,P. macroloba,-84.0609103,10.3858604
543395.0427,F30P4,af,P. macroloba,-84.0576018,10.3855502
14.04727273,F30P4,afe,P. macroloba,-84.0576018,10.3855502
394.7977273,F30P4,cfms,P. macroloba,-84.0576018,10.3855502
0.481363636,F30P4,dm,P. macroloba,-84.0576018,10.3855502
23.95318182,F30P4,n,P. macroloba,-84.0576018,10.3855502
1.059545455,F30P4,p,P. macroloba,-84.0576018,10.3855502
49560.619,F31P1,af,Foothills,-84.1523309,10.2892138
14.8535,F31P1,afe,Foothills,-84.1523309,10.2892138
369.4685,F31P1,cfms,Foothills,-84.1523309,10.2892138
0.5445,F31P1,dm,Foothills,-84.1523309,10.2892138
23.665,F31P1,n,Foothills,-84.1523309,10.2892138
1.0915,F31P1,p,Foothills,-84.1523309,10.2892138
218495.6132,F31P2,af,Foothills,-84.1540249,10.292507
16.17157895,F31P2,afe,Foothills,-84.1540249,10.292507
376.4484211,F31P2,cfms,Foothills,-84.1540249,10.292507
0.480526316,F31P2,dm,Foothills,-84.1540249,10.292507
27.41,F31P2,n,Foothills,-84.1540249,10.292507
1.217368421,F31P2,p,Foothills,-84.1540249,10.292507
31127.00769,F32P1,af,Foothills,-84.1049182,10.261566
15.15769231,F32P1,afe,Foothills,-84.1049182,10.261566
396.7323077,F32P1,cfms,Foothills,-84.1049182,10.261566
0.610769231,F32P1,dm,Foothills,-84.1049182,10.261566
25.04615385,F32P1,n,Foothills,-84.1049182,10.261566
1.159230769,F32P1,p,Foothills,-84.1049182,10.261566
22242.83692,F32P2,af,Foothills,-84.1011962,10.2637361
15.67692308,F32P2,afe,Foothills,-84.1011962,10.2637361
393.5438462,F32P2,cfms,Foothills,-84.1011962,10.2637361
0.586153846,F32P2,dm,Foothills,-84.1011962,10.2637361
25.72,F32P2,n,Foothills,-84.1011962,10.2637361
1.13,F32P2,p,Foothills,-84.1011962,10.2637361
33597.61364,F32P3,af,Foothills,-84.1007223,10.2667571
15.34181818,F32P3,afe,Foothills,-84.1007223,10.2667571
370.4018182,F32P3,cfms,Foothills,-84.1007223,10.2667571
0.584545455,F32P3,dm,Foothills,-84.1007223,10.2667571
25.66818182,F32P3,n,Foothills,-84.1007223,10.2667571
1.25,F32P3,p,Foothills,-84.1007223,10.2667571
283018.0265,F33P1,af,Q. paraensis,-84.004355,10.2786407
12.55117647,F33P1,afe,Q. paraensis,-84.004355,10.2786407
424.3294118,F33P1,cfms,Q. paraensis,-84.004355,10.2786407
0.620588235,F33P1,dm,Q. paraensis,-84.004355,10.2786407
21.45470588,F33P1,n,Q. paraensis,-84.004355,10.2786407
0.924705882,F33P1,p,Q. paraensis,-84.004355,10.2786407
290226.4078,F33P2,af,P. macroloba,-83.9980482,10.2771554
14.32666667,F33P2,afe,P. macroloba,-83.9980482,10.2771554
397.3444444,F33P2,cfms,P. macroloba,-83.9980482,10.2771554
0.508888889,F33P2,dm,P. macroloba,-83.9980482,10.2771554
28.07666667,F33P2,n,P. macroloba,-83.9980482,10.2771554
1.136666667,F33P2,p,P. macroloba,-83.9980482,10.2771554
198907.8687,F33P3,af,P. macroloba,-84.0054834,10.2817664
15.636,F33P3,afe,P. macroloba,-84.0054834,10.2817664
391.7293333,F33P3,cfms,P. macroloba,-84.0054834,10.2817664
0.530666667,F33P3,dm,P. macroloba,-84.0054834,10.2817664
24.022,F33P3,n,P. macroloba,-84.0054834,10.2817664
