plot,forest_type,longitude,latitude,fdiv,feve,fdis
F52P2,Foothills,-84.060733,10.3265391,0.723411467,0.737603114,2.217249657
F52P3,Q. paraensis,-84.0592819,10.353147,0.713285301,0.774170951,1.802642524
F52P4,Foothills,-84.0607413,10.3511647,0.780902254,0.891822333,2.115323846
F52P5,Q. paraensis,-84.0620738,10.3461831,0.689485115,0.768313613,1.523063028
F52P6,Q. paraensis,-84.0627015,10.3433803,0.78114492,0.751496037,2.027727722
F52P7,Q. paraensis,-84.0564418,10.3544846,0.776457312,0.835313972,1.697510293
F53P1,Foothills,-83.97431,10.195508,0.76297535,0.859640269,2.642502952
F53P2,Foothills,-83.9771867,10.197071,0.791401446,0.854898934,2.536267032
F54P1,Foothills,-83.9857582,10.2071333,0.799008713,0.843754063,2.63417064
F54P2,Foothills,-83.9832377,10.2066237,0.819691446,0.84963741,2.573172404
F54P3,Foothills,-83.9939764,10.2115909,0.68664039,0.766740888,2.547145915
F54P4,Foothills,-83.9963882,10.2130948,0.888043882,0.867309325,1.912706339
F54P5,Foothills,-83.9733006,10.2134057,0.836256722,0.858005984,1.768299639
F54P6,Foothills,-83.9715099,10.2159234,0.743672783,0.78628933,2.236132706
F5P1,P. macroloba,-83.9686333,10.4559144,0.601496336,0.628699295,1.510681414
F5P2,P. macroloba,-83.9691055,10.4527851,0.633093299,0.668531094,1.970543499
F5P3,P. macroloba,-83.9695685,10.4496564,0.816308355,0.758230489,2.03829739
F6P1,P. macroloba,-83.9248804,10.209997,0.729331854,0.647701414,0.725271403
F6P2,P. macroloba,-83.9286443,10.2098284,0.696494923,0.702085901,1.448420867
F6P3,P. macroloba,-83.9318257,10.2108022,0.823094484,0.825308298,0.956117435
F7P1,P. macroloba,-84.0804603,10.4423079,0.813870712,0.734143545,1.855270516
F7P2,P. macroloba,-84.0831522,10.4422512,0.632315207,0.781928617,1.592092428
F8P1,P. macroloba,-84.1698641,10.5401782,0.536408233,0.788963249,1.594547298
F8P2,P. macroloba,-84.1697863,10.542715,0.566253684,0.572498605,0.901467732
F9P1,P. macroloba,-84.2936342,10.5351467,0.478272264,0.635008071,1.188586892
F9P2,P. macroloba,-84.2919495,10.5315826,0.507186584,0.713746817,1.376139183
F9P3,P. macroloba,-84.2948566,10.5309667,0.62597998,0.550498132,1.172747563
