cwm,plot,traits,forest_type,longitude,latitude
26.27,F33P4,n,Foothills,-84.0134494,10.2801424
1.113076923,F33P4,p,Foothills,-84.0134494,10.2801424
15.84882353,F34P1,afe,Foothills,-84.0808897,10.321349
368.7847059,F34P1,cfms,Foothills,-84.0808897,10.321349
0.565294118,F34P1,dm,Foothills,-84.0808897,10.321349
26.08,F34P1,n,Foothills,-84.0808897,10.321349
1.291764706,F34P1,p,Foothills,-84.0808897,10.321349
16.32785714,F34P2,afe,Foothills,-84.0816328,10.3159554
337.415,F34P2,cfms,Foothills,-84.0816328,10.3159554
0.532857143,F34P2,dm,Foothills,-84.0816328,10.3159554
23.29428571,F34P2,n,Foothills,-84.0816328,10.3159554
1.232142857,F34P2,p,Foothills,-84.0816328,10.3159554
15.322,F34P3,afe,Foothills,-84.0806336,10.3135173
382.394,F34P3,cfms,Foothills,-84.0806336,10.3135173
0.494,F34P3,dm,Foothills,-84.0806336,10.3135173
23.71066667,F34P3,n,Foothills,-84.0806336,10.3135173
1.180666667,F34P3,p,Foothills,-84.0806336,10.3135173
15.66117647,F34P4,afe,Foothills,-84.0846711,10.3187463
386.8088235,F34P4,cfms,Foothills,-84.0846711,10.3187463
0.472352941,F34P4,dm,Foothills,-84.0846711,10.3187463
25.71529412,F34P4,n,Foothills,-84.0846711,10.3187463
1.188235294,F34P4,p,Foothills,-84.0846711,10.3187463
14.00846154,F35P1,afe,Foothills,-84.1650578,10.2855145
386.6015385,F35P1,cfms,Foothills,-84.1650578,10.2855145
0.552307692,F35P1,dm,Foothills,-84.1650578,10.2855145
20.89923077,F35P1,n,Foothills,-84.1650578,10.2855145
0.891538462,F35P1,p,Foothills,-84.1650578,10.2855145
16.17714286,F35P2,afe,Foothills,-84.1730493,10.2882215
348.465,F35P2,cfms,Foothills,-84.1730493,10.2882215
0.570714286,F35P2,dm,Foothills,-84.1730493,10.2882215
26.34571429,F35P2,n,Foothills,-84.1730493,10.2882215
1.277142857,F35P2,p,Foothills,-84.1730493,10.2882215
14.64529412,F36P1,afe,Foothills,-84.1570649,10.3290489
396.2347059,F36P1,cfms,Foothills,-84.1570649,10.3290489
0.57,F36P1,dm,Foothills,-84.1570649,10.3290489
21.80470588,F36P1,n,Foothills,-84.1570649,10.3290489
1.163529412,F36P1,p,Foothills,-84.1570649,10.3290489
14.025,F36P2,afe,Foothills,-84.1589519,10.3308419
396.5192857,F36P2,cfms,Foothills,-84.1589519,10.3308419
0.509285714,F36P2,dm,Foothills,-84.1589519,10.3308419
23.83214286,F36P2,n,Foothills,-84.1589519,10.3308419
1.168571429,F36P2,p,Foothills,-84.1589519,10.3308419
14.81916667,F37P1,afe,P. macroloba,-84.0468537,10.4043607
424.5183333,F37P1,cfms,P. macroloba,-84.0468537,10.4043607
0.600833333,F37P1,dm,P. macroloba,-84.0468537,10.4043607
25.3075,F37P1,n,P. macroloba,-84.0468537,10.4043607
1.055,F37P1,p,P. macroloba,-84.0468537,10.4043607
13.06583333,F37P2,afe,P. macroloba,-84.0512664,10.4162307
415.4383333,F37P2,cfms,P. macroloba,-84.0512664,10.4162307
0.525,F37P2,dm,P. macroloba,-84.0512664,10.4162307
23.91,F37P2,n,P. macroloba,-84.0512664,10.4162307
0.905,F37P2,p,P. macroloba,-84.0512664,10.4162307
12.34230769,F37P3,afe,P. macroloba,-84.0502667,10.418732
408.0207692,F37P3,cfms,P. macroloba,-84.0502667,10.418732
0.581538462,F37P3,dm,P. macroloba,-84.0502667,10.418732
24.14923077,F37P3,n,P. macroloba,-84.0502667,10.418732
0.88,F37P3,p,P. macroloba,-84.0502667,10.418732
13.39916667,F37P4,afe,P. macroloba,-84.0571824,10.4108581
420.5583333,F37P4,cfms,P. macroloba,-84.0571824,10.4108581
0.624166667,F37P4,dm,P. macroloba,-84.0571824,10.4108581
23.8925,F37P4,n,P. macroloba,-84.0571824,10.4108581
0.968333333,F37P4,p,P. macroloba,-84.0571824,10.4108581
16.76928571,F38P1,afe,P. macroloba,-84.098572,10.376008
360.265,F38P1,cfms,P. macroloba,-84.098572,10.376008
0.49,F38P1,dm,P. macroloba,-84.098572,10.376008
27.31214286,F38P1,n,P. macroloba,-84.098572,10.376008
1.24,F38P1,p,P. macroloba,-84.098572,10.376008
14.62722222,F38P2,afe,Foothills,-84.1013397,10.3676343
403.37,F38P2,cfms,Foothills,-84.1013397,10.3676343
0.493333333,F38P2,dm,Foothills,-84.1013397,10.3676343
25.33444444,F38P2,n,Foothills,-84.1013397,10.3676343
1.11,F38P2,p,Foothills,-84.1013397,10.3676343
11.54,F38P3,afe,Q. paraensis,-84.093436,10.3809823
427.1871429,F38P3,cfms,Q. paraensis,-84.093436,10.3809823
0.632857143,F38P3,dm,Q. paraensis,-84.093436,10.3809823
19.04714286,F38P3,n,Q. paraensis,-84.093436,10.3809823
0.688571429,F38P3,p,Q. paraensis,-84.093436,10.3809823
14.83444444,F38P4,afe,P. macroloba,-84.0913523,10.3853795
391.2888889,F38P4,cfms,P. macroloba,-84.0913523,10.3853795
0.607777778,F38P4,dm,P. macroloba,-84.0913523,10.3853795
23.43555556,F38P4,n,P. macroloba,-84.0913523,10.3853795
1.109444444,F38P4,p,P. macroloba,-84.0913523,10.3853795
13.96,F39P1,afe,P. macroloba,-83.9960084,10.3313444
415.874,F39P1,cfms,P. macroloba,-83.9960084,10.3313444
0.638,F39P1,dm,P. macroloba,-83.9960084,10.3313444
24.632,F39P1,n,P. macroloba,-83.9960084,10.3313444
0.886,F39P1,p,P. macroloba,-83.9960084,10.3313444
16.615,F39P2,afe,P. macroloba,-83.9980687,10.3332305
379.11375,F39P2,cfms,P. macroloba,-83.9980687,10.3332305
0.49875,F39P2,dm,P. macroloba,-83.9980687,10.3332305
28.64125,F39P2,n,P. macroloba,-83.9980687,10.3332305
1.271875,F39P2,p,P. macroloba,-83.9980687,10.3332305
13.50230769,F3P1,afe,P. macroloba,-84.0363955,10.5839798
421.84,F3P1,cfms,P. macroloba,-84.0363955,10.5839798
0.602307692,F3P1,dm,P. macroloba,-84.0363955,10.5839798
24.42,F3P1,n,P. macroloba,-84.0363955,10.5839798
1.143076923,F3P1,p,P. macroloba,-84.0363955,10.5839798
12.46545455,F3P2,afe,P. macroloba,-84.0389963,10.5868753
427.9590909,F3P2,cfms,P. macroloba,-84.0389963,10.5868753
0.638181818,F3P2,dm,P. macroloba,-84.0389963,10.5868753
24.78090909,F3P2,n,P. macroloba,-84.0389963,10.5868753
1.024545455,F3P2,p,P. macroloba,-84.0389963,10.5868753
13.90714286,F3P3,afe,P. macroloba,-84.0434666,10.5870618
397.9914286,F3P3,cfms,P. macroloba,-84.0434666,10.5870618
0.661428571,F3P3,dm,P. macroloba,-84.0434666,10.5870618
26.72428571,F3P3,n,P. macroloba,-84.0434666,10.5870618
1.01,F3P3,p,P. macroloba,-84.0434666,10.5870618
11.95692308,F3P4,afe,P. macroloba,-84.0468366,10.5867776
419.7338462,F3P4,cfms,P. macroloba,-84.0468366,10.5867776
0.666923077,F3P4,dm,P. macroloba,-84.0468366,10.5867776
22.99769231,F3P4,n,P. macroloba,-84.0468366,10.5867776
0.939230769,F3P4,p,P. macroloba,-84.0468366,10.5867776
14.726,F40P1,afe,P. macroloba,-83.9962286,10.343027
411.331,F40P1,cfms,P. macroloba,-83.9962286,10.343027
0.545,F40P1,dm,P. macroloba,-83.9962286,10.343027
23.216,F40P1,n,P. macroloba,-83.9962286,10.343027
0.9,F40P1,p,P. macroloba,-83.9962286,10.343027
12.77388889,F40P2,afe,P. macroloba,-83.9963695,10.3473148
432.2794444,F40P2,cfms,P. macroloba,-83.9963695,10.3473148
0.615555556,F40P2,dm,P. macroloba,-83.9963695,10.3473148
21.90611111,F40P2,n,P. macroloba,-83.9963695,10.3473148
0.825555556,F40P2,p,P. macroloba,-83.9963695,10.3473148
12.6225,F40P3,afe,P. macroloba,-83.9986894,10.3524672
406.8325,F40P3,cfms,P. macroloba,-83.9986894,10.3524672
0.5775,F40P3,dm,P. macroloba,-83.9986894,10.3524672
23.03833333,F40P3,n,P. macroloba,-83.9986894,10.3524672
0.875833333,F40P3,p,P. macroloba,-83.9986894,10.3524672
15.25,F40P4,afe,P. macroloba,-84.0038574,10.3543243
396.25,F40P4,cfms,P. macroloba,-84.0038574,10.3543243
0.50375,F40P4,dm,P. macroloba,-84.0038574,10.3543243
27.7125,F40P4,n,P. macroloba,-84.0038574,10.3543243
1.1525,F40P4,p,P. macroloba,-84.0038574,10.3543243
15.64176471,F41P1,afe,Foothills,-84.0093151,10.2659814
395.2529412,F41P1,cfms,Foothills,-84.0093151,10.2659814
0.507058824,F41P1,dm,Foothills,-84.0093151,10.2659814
23.56882353,F41P1,n,Foothills,-84.0093151,10.2659814
1.098823529,F41P1,p,Foothills,-84.0093151,10.2659814
12.84454545,F41P2,afe,Foothills,-84.0134041,10.267491
420.1745455,F41P2,cfms,Foothills,-84.0134041,10.267491
0.484545455,F41P2,dm,Foothills,-84.0134041,10.267491
22.19,F41P2,n,Foothills,-84.0134041,10.267491
0.945454545,F41P2,p,Foothills,-84.0134041,10.267491
15.50823529,F41P3,afe,Foothills,-84.0143658,10.2640865
384.0364706,F41P3,cfms,Foothills,-84.0143658,10.2640865
0.497647059,F41P3,dm,Foothills,-84.0143658,10.2640865
25.33470588,F41P3,n,Foothills,-84.0143658,10.2640865
1.122941176,F41P3,p,Foothills,-84.0143658,10.2640865
16.30454545,F41P4,afe,Foothills,-84.0109991,10.2634054
389.0754545,F41P4,cfms,Foothills,-84.0109991,10.2634054
0.536363636,F41P4,dm,Foothills,-84.0109991,10.2634054
20.98363636,F41P4,n,Foothills,-84.0109991,10.2634054
1.029090909,F41P4,p,Foothills,-84.0109991,10.2634054
15.52933333,F41P5,afe,Foothills,-84.0083697,10.2695576
380.3493333,F41P5,cfms,Foothills,-84.0083697,10.2695576
0.464,F41P5,dm,Foothills,-84.0083697,10.2695576
26.91,F41P5,n,Foothills,-84.0083697,10.2695576
1.232,F41P5,p,Foothills,-84.0083697,10.2695576
15.44583333,F41P6,afe,P. macroloba,-83.9952261,10.267953
411.4883333,F41P6,cfms,P. macroloba,-83.9952261,10.267953
0.555,F41P6,dm,P. macroloba,-83.9952261,10.267953
24.79916667,F41P6,n,P. macroloba,-83.9952261,10.267953
1.1325,F41P6,p,P. macroloba,-83.9952261,10.267953
15.525,F42P1,afe,P. macroloba,-84.0107738,10.3472099
412.14,F42P1,cfms,P. macroloba,-84.0107738,10.3472099
0.638,F42P1,dm,P. macroloba,-84.0107738,10.3472099
23.051,F42P1,n,P. macroloba,-84.0107738,10.3472099
0.814,F42P1,p,P. macroloba,-84.0107738,10.3472099
16.28375,F42P2,afe,P. macroloba,-84.0092627,10.3497784
413.4075,F42P2,cfms,P. macroloba,-84.0092627,10.3497784
0.65125,F42P2,dm,P. macroloba,-84.0092627,10.3497784
24.98375,F42P2,n,P. macroloba,-84.0092627,10.3497784
1.0075,F42P2,p,P. macroloba,-84.0092627,10.3497784
14.52769231,F42P3,afe,P. macroloba,-84.0050403,10.3498023
396.1453846,F42P3,cfms,P. macroloba,-84.0050403,10.3498023
0.54,F42P3,dm,P. macroloba,-84.0050403,10.3498023
23.81615385,F42P3,n,P. macroloba,-84.0050403,10.3498023
0.908461538,F42P3,p,P. macroloba,-84.0050403,10.3498023
11.466875,F42P4,afe,Q. paraensis,-84.0077658,10.344184
420.165,F42P4,cfms,Q. paraensis,-84.0077658,10.344184
0.635,F42P4,dm,Q. paraensis,-84.0077658,10.344184
21.6825,F42P4,n,Q. paraensis,-84.0077658,10.344184
0.880625,F42P4,p,Q. paraensis,-84.0077658,10.344184
13.26388889,F43P1,afe,P. macroloba,-84.0015353,10.323204
432.0544444,F43P1,cfms,P. macroloba,-84.0015353,10.323204
0.587222222,F43P1,dm,P. macroloba,-84.0015353,10.323204
22.945,F43P1,n,P. macroloba,-84.0015353,10.323204
0.98,F43P1,p,P. macroloba,-84.0015353,10.323204
13.58315789,F43P2,afe,Q. paraensis,-84.008256,10.3241874
410.0768421,F43P2,cfms,Q. paraensis,-84.008256,10.3241874
0.605263158,F43P2,dm,Q. paraensis,-84.008256,10.3241874
22.91157895,F43P2,n,Q. paraensis,-84.008256,10.3241874
0.937368421,F43P2,p,Q. paraensis,-84.008256,10.3241874
16.29176471,F43P3,afe,P. macroloba,-83.9987572,10.324131
404.1217647,F43P3,cfms,P. macroloba,-83.9987572,10.324131
0.566470588,F43P3,dm,P. macroloba,-83.9987572,10.324131
23.82117647,F43P3,n,P. macroloba,-83.9987572,10.324131
0.950588235,F43P3,p,P. macroloba,-83.9987572,10.324131
11.87538462,F44P1,afe,Q. paraensis,-84.1155173,10.6638577
413.6053846,F44P1,cfms,Q. paraensis,-84.1155173,10.6638577
0.606923077,F44P1,dm,Q. paraensis,-84.1155173,10.6638577
20.90307692,F44P1,n,Q. paraensis,-84.1155173,10.6638577
0.933076923,F44P1,p,Q. paraensis,-84.1155173,10.6638577
15.30923077,F44P2,afe,Q. paraensis,-84.1127646,10.6662797
397.5184615,F44P2,cfms,Q. paraensis,-84.1127646,10.6662797
0.573076923,F44P2,dm,Q. paraensis,-84.1127646,10.6662797
26.37615385,F44P2,n,Q. paraensis,-84.1127646,10.6662797
1.166153846,F44P2,p,Q. paraensis,-84.1127646,10.6662797
12.02181818,F44P3,afe,P. macroloba,-84.1107653,10.6536999
440.0672727,F44P3,cfms,P. macroloba,-84.1107653,10.6536999
0.703636364,F44P3,dm,P. macroloba,-84.1107653,10.6536999
23.77545455,F44P3,n,P. macroloba,-84.1107653,10.6536999
1.041818182,F44P3,p,P. macroloba,-84.1107653,10.6536999
13.313,F44P4,afe,P. macroloba,-84.1111978,10.6581828
443.928,F44P4,cfms,P. macroloba,-84.1111978,10.6581828
0.632,F44P4,dm,P. macroloba,-84.1111978,10.6581828
21.191,F44P4,n,P. macroloba,-84.1111978,10.6581828
0.879,F44P4,p,P. macroloba,-84.1111978,10.6581828
13.35285714,F45P1,afe,Q. paraensis,-84.0843067,10.7026788
413.1335714,F45P1,cfms,Q. paraensis,-84.0843067,10.7026788
0.655714286,F45P1,dm,Q. paraensis,-84.0843067,10.7026788
23.11571429,F45P1,n,Q. paraensis,-84.0843067,10.7026788
0.933571429,F45P1,p,Q. paraensis,-84.0843067,10.7026788
13.85294118,F45P2,afe,P. macroloba,-84.0823594,10.700078
413.8829412,F45P2,cfms,P. macroloba,-84.0823594,10.700078
0.626470588,F45P2,dm,P. macroloba,-84.0823594,10.700078
23.42941176,F45P2,n,P. macroloba,-84.0823594,10.700078
1.061764706,F45P2,p,P. macroloba,-84.0823594,10.700078
10.91454545,F46P1,afe,Q. paraensis,-84.0719112,10.7516056
438.0390909,F46P1,cfms,Q. paraensis,-84.0719112,10.7516056
0.699090909,F46P1,dm,Q. paraensis,-84.0719112,10.7516056
21.30636364,F46P1,n,Q. paraensis,-84.0719112,10.7516056
0.769090909,F46P1,p,Q. paraensis,-84.0719112,10.7516056
14.128,F46P2,afe,Q. paraensis,-84.0690556,10.7494203
392.831,F46P2,cfms,Q. paraensis,-84.0690556,10.7494203
0.609,F46P2,dm,Q. paraensis,-84.0690556,10.7494203
25.2,F46P2,n,Q. paraensis,-84.0690556,10.7494203
1.194,F46P2,p,Q. paraensis,-84.0690556,10.7494203
13.94181818,F47P1,afe,P. macroloba,-84.0511006,10.7091117
417.7209091,F47P1,cfms,P. macroloba,-84.0511006,10.7091117
0.597272727,F47P1,dm,P. macroloba,-84.0511006,10.7091117
21.88727273,F47P1,n,P. macroloba,-84.0511006,10.7091117
0.895454545,F47P1,p,P. macroloba,-84.0511006,10.7091117
12.77,F47P2,afe,Q. paraensis,-84.0470962,10.7077556
420.18,F47P2,cfms,Q. paraensis,-84.0470962,10.7077556
0.596923077,F47P2,dm,Q. paraensis,-84.0470962,10.7077556
22.32615385,F47P2,n,Q. paraensis,-84.0470962,10.7077556
0.943846154,F47P2,p,Q. paraensis,-84.0470962,10.7077556
11.67090909,F47P3,afe,Q. paraensis,-84.0467599,10.7113552
430.1163636,F47P3,cfms,Q. paraensis,-84.0467599,10.7113552
0.647272727,F47P3,dm,Q. paraensis,-84.0467599,10.7113552
22.05545455,F47P3,n,Q. paraensis,-84.0467599,10.7113552
0.957272727,F47P3,p,Q. paraensis,-84.0467599,10.7113552
