plot,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F34P4,14.88692327,348.8519387,0.409230788,25.28923082,1.255769204
F35P1,11.10400014,393.6740016,0.419500035,19.33224988,0.965499966
F35P2,13.27969746,369.2878772,0.382727309,23.71484897,1.231212118
F36P1,12.09176471,412.2752941,0.497058824,20.62617647,1.105
F36P2,11.73434801,399.0026107,0.347173936,22.29065238,1.17304347
F37P1,12.20805547,425.3949994,0.43055555,23.64861037,1.038055542
F37P2,11.69744671,420.7434065,0.460212771,23.71425503,1.005957428
F37P3,11.33921053,413.8797368,0.469736842,22.71368421,0.963684211
F37P4,11.86375005,417.2325033,0.487750011,22.86125022,1.003499993
F38P1,14.44517241,381.1624138,0.390344828,25.15586207,1.18
F38P2,12.77026316,406.07,0.399736842,23.27947368,1.082894737
F38P3,10.09321448,446.762496,0.624642861,19.51071424,0.808214251
F38P4,13.73235306,401.8588196,0.525588243,25.03735235,1.137058823
F39P1,12.95605264,419.9502619,0.520000006,25.91342063,1.038947356
F39P2,15.09967742,401.1554839,0.476451613,28.05645161,1.21516129
F3P1,11.68600049,428.4639982,0.425000049,23.20333421,1.023666707
F3P2,11.59499986,430.4354546,0.449999998,24.75545406,1.03181817
F3P3,13.68640974,413.2292361,0.553589735,23.7415379,1.054615352
F3P4,10.99660005,431.3307993,0.439000028,22.26479977,0.949999999
F40P1,13.0208,418.9892,0.428,23.926,1.0028
F40P2,12.09538462,426.4366667,0.496666667,22.11487179,0.909487179
F40P3,11.88296296,411.1848148,0.447777778,23.40814815,0.982592593
F40P4,12.9795,394,0.3755,24.846,1.1265
F41P1,16.59380952,385.7290476,0.486666667,24.52333333,1.134285714
F41P2,11.93722222,428.5294444,0.484444444,21.71,0.955555556
F41P3,14.91230769,388.1619231,0.508076923,24.35653846,1.105
F41P4,13.9,398.7378261,0.486086957,20.7373913,1.02
F41P5,16.27,368.1929167,0.42,27.29416667,1.23625
F41P6,13.83696984,422.0563625,0.506969702,26.61363598,1.128787877
F42P1,11.62600014,430.2215962,0.510399995,23.03959972,1.014399988
F42P2,12.13382353,420.8017647,0.484117647,23.215,1.072058824
F42P3,13.43076923,394.9319231,0.484230769,23.99346154,0.994230769
F42P4,10.90588254,426.3692116,0.549215681,21.54705899,0.97705882
F43P1,12.44486481,428.0078376,0.51405406,24.27216152,1.06945945
F43P2,12.38085714,414.3274286,0.556285714,21.35371429,0.95
F43P3,12.87204588,425.9381766,0.519090906,23.36522702,1.01931817
F44P1,9.999555812,433.4859954,0.400888898,19.44977793,0.918888895
F44P2,11.32557714,425.7257651,0.462499987,22.36000024,1.068269236
F44P3,11.21433338,432.6184972,0.479499991,23.23916646,1.061666665
F44P4,10.9375928,436.6533307,0.419444451,20.96018484,0.942407399
F45P1,11.1484377,421.4798404,0.456250018,21.4473436,0.972656243
F45P2,11.79294108,419.9217638,0.428431369,22.6807837,1.050588227
F46P1,10.51820532,423.1533276,0.561025636,20.07384619,0.887435882
F46P2,10.49980033,431.4935955,0.459600019,20.85440041,1.014800024
