"","fdis_abundrela","feve_abundrela","fdiv_abundrela"
"F54P2",0.278144528640093,0.821699843594798,0.718210632358354
"F54P3",0.346348807237455,0.563688131346005,0.566720186329967
"F54P4",0.197412976957181,0.806444493834407,0.400947950681479
"F54P5",0.281701964217593,0.798465456663876,0.665924020591203
"F54P6",0.243581608410452,0.711065620425602,0.592436620051791
"F5P1",0.324295254458913,0.618143994848639,0.526602145103393
"F5P2",0.271715517810623,0.712188921934221,0.612874385998538
"F5P3",0.272740425883804,0.658592346237963,0.777421763005515
"F6P1",0.330461327830219,0.563613238216134,0.764081612352306
"F6P2",0.310287017082998,0.708825493543438,0.717070323215058
"F6P3",0.34290331270703,0.679313852033144,0.756539975190615
"F7P1",0.343645434304414,0.580685383470899,0.64986811603993
"F7P2",0.281537680339219,0.658784991794809,0.552691174775209
"F8P1",0.338691310816203,0.589386221814024,0.498806291166117
"F8P2",0.294845990777309,0.621167041121113,0.637583005920512
"F9P1",0.221403519521274,0.724824386440926,0.632784977678049
"F9P2",0.334444619333179,0.846919298734221,0.787744062280109
"F9P3",0.275197841551494,0.752893132406581,0.741119534330916
