plot,N,D,Q,U,redundancy_sp
F33P4,13,0.906574394,0.310034602,0.341984733,0.658015267
F34P1,17,0.93,0.36745,0.395107527,0.604892473
F34P2,14,0.921875,0.407578125,0.442118644,0.557881356
F34P3,15,0.917355372,0.335812672,0.366066066,0.633933934
F34P4,17,0.844800079,0.390880034,0.462689392,0.537310608
F35P1,13,0.820861678,0.155464853,0.189392265,0.810607735
F35P2,14,0.913580247,0.340555556,0.37277027,0.62722973
F36P1,17,0.925619835,0.344118457,0.371770833,0.628229167
F36P2,14,0.91,0.3588,0.394285714,0.605714286
F37P1,12,0.784580596,0.325260781,0.414566435,0.585433565
F37P2,12,0.688775587,0.282363969,0.409950606,0.590049394
F37P3,13,0.865,0.289683333,0.334894027,0.665105973
F37P4,12,0.851239669,0.361198347,0.424320388,0.575679612
F38P1,14,0.905,0.37575,0.41519337,0.58480663
F38P2,18,0.933884298,0.317892562,0.34039823,0.65960177
F38P3,7,0.7265625,0.18375,0.252903226,0.747096774
F38P4,18,0.860000062,0.374481495,0.435443568,0.564556432
F39P1,15,0.716253511,0.294839319,0.41164101,0.58835899
F39P2,16,0.899408284,0.362564103,0.403114035,0.596885965
F3P1,13,0.858725762,0.376288089,0.438193548,0.561806452
F3P2,11,0.655555627,0.311711138,0.475491514,0.524508486
F3P3,7,0.707818984,0.227818958,0.32186048,0.67813952
F3P4,13,0.786982326,0.34449705,0.437744328,0.562255672
F40P1,10,0.816608997,0.382076125,0.467881356,0.532118644
F40P2,18,0.897959184,0.362831633,0.4040625,0.5959375
F40P3,12,0.825484765,0.330009234,0.399776286,0.600223714
F40P4,8,0.816568047,0.341301775,0.417971014,0.582028986
F41P1,17,0.934240363,0.317097506,0.339417476,0.660582524
F41P2,11,0.897959184,0.406938776,0.453181818,0.546818182
F41P3,17,0.923611111,0.360011574,0.389786967,0.610213033
F41P4,11,0.875,0.2871875,0.328214286,0.671785714
F41P5,15,0.918714556,0.428342785,0.466241427,0.533758573
F41P6,12,0.660000073,0.337066693,0.510707055,0.489292945
F42P1,10,0.680473454,0.326213045,0.479391288,0.520608712
F42P2,8,0.7109375,0.318125,0.447472527,0.552527473
F42P3,13,0.866213152,0.344353741,0.397539267,0.602460733
F42P4,16,0.909469303,0.26566077,0.292105263,0.707894737
F43P1,18,0.863281303,0.320722647,0.371515803,0.628484197
F43P2,19,0.933837429,0.19100189,0.204534413,0.795465587
F43P3,17,0.862244961,0.3509694,0.407041405,0.592958595
F44P1,13,0.918367347,0.313061224,0.340888889,0.659111111
F44P2,13,0.851851852,0.375864198,0.441231884,0.558768116
F44P3,11,0.65777785,0.339733362,0.516486474,0.483513526
F44P4,10,0.770975148,0.409659887,0.531352908,0.468647092
F45P1,14,0.839476863,0.342711057,0.4082436,0.5917564
F45P2,17,0.836762762,0.380932796,0.455245875,0.544754125
F46P1,11,0.875283447,0.270748299,0.309326425,0.690673575
F46P2,10,0.888888889,0.376111111,0.423125,0.576875
F47P1,11,0.689453191,0.319687525,0.463682711,0.536317289
F47P2,13,0.906574394,0.383414072,0.422926209,0.577073791
F47P3,11,0.831758034,0.364234405,0.437909091,0.562090909
F48P1,11,0.850694444,0.32537037,0.38247619,0.61752381
F48P2,16,0.777645735,0.357835932,0.460152889,0.539847111
F49P1,9,0.466111835,0.282901341,0.606938765,0.393061235
F49P2,12,0.781250079,0.337916693,0.432533323,0.567466677
F49P3,10,0.632231502,0.296776904,0.469411763,0.530588237
F4P1,7,0.585034107,0.246303889,0.421007744,0.578992256
F4P2,10,0.767485907,0.399697564,0.520788148,0.479211852
F50P1,12,0.847107438,0.336404959,0.397121951,0.602878049
F50P2,11,0.775510297,0.276281192,0.356257284,0.643742716
F50P3,16,0.925619835,0.239256198,0.258482143,0.741517857
F50P4,6,0.471655414,0.237823167,0.504230758,0.495769242
F51P1,18,0.93877551,0.274693878,0.292608696,0.707391304
F51P2,11,0.875,0.2025,0.231428571,0.768571429
F51P3,16,0.923076923,0.246449704,0.266987179,0.733012821
F52P1,15,0.921487603,0.385454545,0.418295964,0.581704036
F52P2,22,0.946492271,0.368545382,0.389380235,0.610619765
F52P3,15,0.8768,0.328768,0.374963504,0.625036496
F52P4,12,0.897777778,0.396533333,0.441683168,0.558316832
