plot,forest_type,longitude,latitude,fdiv,feve,fdis
F52P6,Q.paraensis,-84.0627015,10.3433803,0.711360878,0.733796679,2.959333866
F52P7,Q.paraensis,-84.0564418,10.3544846,0.821602687,0.806911549,3.581864073
F53P1,Foothills,-83.97431,10.195508,0.818358401,0.837629686,4.53151389
F53P2,Foothills,-83.9771867,10.197071,0.887805018,0.775990853,3.913883135
F54P1,Foothills,-83.9857582,10.2071333,0.782296126,0.836019585,3.942891147
F54P2,Foothills,-83.9832377,10.2066237,0.830540441,0.794111693,3.89639524
F54P3,Foothills,-83.9939764,10.2115909,0.793235833,0.748432425,4.079457455
F54P4,Foothills,-83.9963882,10.2130948,0.933712251,0.84049937,3.498176951
F54P5,Foothills,-83.9733006,10.2134057,0.743180636,0.778059047,3.095682335
F54P6,Foothills,-83.9715099,10.2159234,0.812139987,0.830867899,4.116387852
F5P1,P.macroloba,-83.9686333,10.4559144,0.770598951,0.642608935,4.161837496
F5P2,P.macroloba,-83.9691055,10.4527851,0.776778729,0.627394865,3.749103985
F5P3,P.macroloba,-83.9695685,10.4496564,0.793140297,0.736469549,3.391126093
F6P1,P.macroloba,-83.9248804,10.209997,0.670659226,0.647434587,3.849638238
F6P2,P.macroloba,-83.9286443,10.2098284,0.717168038,0.680927732,4.175244753
F6P3,P.macroloba,-83.9318257,10.2108022,0.692338003,0.781729187,3.287473549
F7P1,P.macroloba,-84.0804603,10.4423079,0.779651153,0.62814197,4.876928808
F7P2,P.macroloba,-84.0831522,10.4422512,0.829067683,0.681831076,4.49162288
F8P1,P.macroloba,-84.1698641,10.5401782,0.781853092,0.767045807,4.934516509
F8P2,P.macroloba,-84.1697863,10.542715,0.66659712,0.59803432,3.969458795
F9P1,P.macroloba,-84.2936342,10.5351467,0.450954091,0.429981039,1.597631707
F9P2,P.macroloba,-84.2919495,10.5315826,0.49887376,0.670457804,2.124345901
F9P3,P.macroloba,-84.2948566,10.5309667,0.593943372,0.575144593,3.539477982
