plot,forest_type,longitude,latitude,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F51P2,Q. paraensis,-84.1187313,10.7257107,10.48375,411.964375,0.65625,19.735625,0.805625
F51P3,Q. paraensis,-84.1158291,10.728447,10.97307692,435.175,0.624230769,20.46153846,0.798461538
F52P1,Foothills,-84.0632124,10.3217756,16.16045455,368.7704545,0.514090909,27.37772727,1.295909091
F52P2,Foothills,-84.060733,10.3265391,17.11689655,390.6906897,0.530344828,23.19758621,1.186896552
F52P3,Q. paraensis,-84.0592819,10.353147,14.5932,415.7476,0.5752,23.0388,0.9608
F52P4,Foothills,-84.0607413,10.3511647,15.316,375.8726667,0.466666667,27.446,1.292
F52P5,Q. paraensis,-84.0620738,10.3461831,11.60434783,439.1634783,0.664347826,22.24173913,0.893043478
F52P6,Q. paraensis,-84.0627015,10.3433803,14.26958333,405.8383333,0.59625,22.565,0.860416667
F52P7,Q. paraensis,-84.0564418,10.3544846,13.78529412,411.9341176,0.579411765,22.13823529,0.904117647
F53P1,Foothills,-83.97431,10.195508,14.64944444,367.4122222,0.478333333,23.69833333,1.205
F53P2,Foothills,-83.9771867,10.197071,14.47555556,380.7877778,0.45,23.22444444,1.225555556
F54P1,Foothills,-83.9857582,10.2071333,16.38333333,365.5266667,0.480555556,23.45611111,1.200555556
F54P2,Foothills,-83.9832377,10.2066237,14.4775,402.041,0.479,20.026,1.1155
F54P3,Foothills,-83.9939764,10.2115909,17.44769231,394.2238462,0.473076923,25.46076923,1.266923077
F54P4,Foothills,-83.9963882,10.2130948,16.17066667,365.7173333,0.457333333,26.74533333,1.156
F54P5,Foothills,-83.9733006,10.2134057,16.27571429,405.2228571,0.570714286,25.83642857,1.053571429
F54P6,Foothills,-83.9715099,10.2159234,15.24115385,390.3653846,0.535,23.38807692,1.070769231
F5P1,P. macroloba,-83.9686333,10.4559144,15.73684211,392.2878947,0.464210526,28.77,1.171052632
F5P2,P. macroloba,-83.9691055,10.4527851,16.44842105,395.9594737,0.515789474,25.88736842,1.067894737
F5P3,P. macroloba,-83.9695685,10.4496564,19.06085714,398.2894286,0.440571429,29.01885714,0.907428571
F6P1,P. macroloba,-83.9248804,10.209997,13.33913043,413.2130435,0.47173913,27.66130435,1.163478261
F6P2,P. macroloba,-83.9286443,10.2098284,15.16954545,404.2981818,0.535,28.54590909,1.105909091
F6P3,P. macroloba,-83.9318257,10.2108022,13.79086957,424.0078261,0.498695652,26.80869565,1.056521739
F7P1,P. macroloba,-84.0804603,10.4423079,17.4925,365.9066667,0.4525,29.725,1.205833333
F7P2,P. macroloba,-84.0831522,10.4422512,15.72952381,406.022381,0.467619048,27.60190476,1.125714286
F8P1,P. macroloba,-84.1698641,10.5401782,13.33653846,406.9638462,0.494615385,26.29423077,1.215769231
F8P2,P. macroloba,-84.1697863,10.542715,12.79535714,427.4132143,0.509642857,27.45,1.094642857
F9P1,P. macroloba,-84.2936342,10.5351467,12.98555556,422.8525926,0.516296296,27.74592593,1.10962963
F9P2,P. macroloba,-84.2919495,10.5315826,14.41586207,403.4486207,0.484137931,27.91793103,1.175517241
F9P3,P. macroloba,-84.2948566,10.5309667,13.79777778,414.4396296,0.511481481,28.24481481,1.214074074
