plot,cwm_sp_afe,cwm_sp_cfms,cwm_sp_dm,cwm_sp_n,cwm_sp_p
F42P2,14.706875,419.20375,0.58,26.554375,1.039375
F42P3,13.97238095,396.582381,0.517142857,24.7347619,0.96952381
F42P4,11.88677419,418.2203226,0.613870968,22.53516129,0.907741935
F43P1,12.83624999,435.5090633,0.574062516,24.88343685,1.041249985
F43P2,13.60086957,410.9330435,0.629565217,21.88521739,0.878695652
F43P3,14.69642888,422.1885701,0.561428587,25.19928502,0.984999973
F44P1,11.90214286,421.205,0.617857143,20.55928571,0.912142857
F44P2,14.63166667,406.5411111,0.544444444,27.17166667,1.158888889
F44P3,12.79099999,437.2370012,0.588666686,26.66366625,1.087333325
F44P4,13.21523817,443.2990507,0.576666691,23.67761778,0.954285672
F45P1,12.98827588,410.5072382,0.575172431,23.7151715,0.961724108
F45P2,13.83888906,419.8522204,0.579629649,25.56703638,1.081111101
F46P1,11.31714286,407.7609524,0.666666667,20.42904762,0.816190476
F46P2,14.1225,391.2233333,0.610833333,25.3975,1.200833333
F47P1,13.32000007,418.4709358,0.516875007,24.27031175,0.999062479
F47P2,12.51,422.7511765,0.582352941,22.09529412,0.955882353
F47P3,11.94913043,431.7373913,0.606086957,23.79043478,1.002173913
F48P1,11.08083333,418.3804167,0.535,23.21,0.855
F48P2,13.73344842,426.2210339,0.535517252,25.33758556,1.038620673
F49P1,12.87310345,432.6893108,0.497586211,27.19724104,1.054827572
F49P2,14.22875027,410.4333294,0.485000003,22.60458201,1.027499977
F49P3,13.94000023,422.1154528,0.523636375,26.95363586,1.100454537
F4P1,12.6271428,431.2547622,0.531904776,27.33714242,1.073333318
F4P2,13.82565237,432.9604354,0.556521757,25.43739051,1.033478239
F50P1,13.52863636,399.3727273,0.517727273,24.41545455,0.99
F50P2,12.55999993,435.2361917,0.57571431,24.18333218,0.940952335
F50P3,11.38,431.64,0.685,21.86136364,0.799090909
F50P4,13.96523835,424.8733322,0.527619061,27.69904727,1.108095231
F51P1,14.36571429,425.1109524,0.696190476,24.25333333,0.97047619
F51P2,10.48375,411.964375,0.65625,19.735625,0.805625
F51P3,10.97307692,435.175,0.624230769,20.46153846,0.798461538
F52P1,16.16045455,368.7704545,0.514090909,27.37772727,1.295909091
F52P2,17.11689655,390.6906897,0.530344828,23.19758621,1.186896552
F52P3,14.5932,415.7476,0.5752,23.0388,0.9608
F52P4,15.316,375.8726667,0.466666667,27.446,1.292
F52P5,11.60434783,439.1634783,0.664347826,22.24173913,0.893043478
F52P6,14.26958333,405.8383333,0.59625,22.565,0.860416667
F52P7,13.78529412,411.9341176,0.579411765,22.13823529,0.904117647
F53P1,14.64944444,367.4122222,0.478333333,23.69833333,1.205
F53P2,14.47555556,380.7877778,0.45,23.22444444,1.225555556
F54P1,16.38333333,365.5266667,0.480555556,23.45611111,1.200555556
F54P2,14.4775,402.041,0.479,20.026,1.1155
F54P3,17.44769231,394.2238462,0.473076923,25.46076923,1.266923077
F54P4,16.17066667,365.7173333,0.457333333,26.74533333,1.156
F54P5,16.27571429,405.2228571,0.570714286,25.83642857,1.053571429
F54P6,15.24115385,390.3653846,0.535,23.38807692,1.070769231
F5P1,15.73684283,392.2878852,0.464210525,28.76999988,1.171052639
F5P2,16.44842196,395.9594651,0.515789485,25.88736757,1.067894719
F5P3,19.06085683,398.2894267,0.440571436,29.01885656,0.907428562
F6P1,13.33913053,413.21304,0.471739131,27.66130402,1.163478266
F6P2,15.16954545,404.2981818,0.535,28.54590909,1.105909091
F6P3,13.79086976,424.0078248,0.498695658,26.80869514,1.056521722
F7P1,17.4925,365.9066667,0.4525,29.725,1.205833333
F7P2,15.72952446,406.0223755,0.467619047,27.60190439,1.125714282
F8P1,13.33653855,406.9638419,0.494615389,26.29423023,1.215769245
F8P2,12.79535713,427.4132138,0.509642864,27.44999969,1.094642849
F9P1,12.98555558,422.8525913,0.516296305,27.74592566,1.109629624
F9P2,14.41586232,403.4486163,0.484137933,27.91793082,1.175517247
F9P3,13.79777794,414.4396269,0.511481489,28.24481464,1.214074087
