plot,fdis,feve,fdiv
F53P2,0.23250342,0.60791831,0.742618253
F54P1,0.207787353,0.690521591,0.799472192
F54P2,0.242305844,0.780357459,0.808258657
F54P3,0.273955615,0.559315467,0.54423219
F54P4,0.197878029,0.597715156,0.440957793
F54P5,0.20485171,0.820896476,0.696208045
F54P6,0.215060468,0.684017438,0.699855147
F5P1,0.27686428,0.652614303,0.616403859
F5P2,0.276713803,0.66467189,0.560166904
F5P3,0.290315965,0.586073386,0.806454023
F6P1,0.281074762,0.550443403,0.771257118
F6P2,0.283269482,0.663618378,0.629528607
F6P3,0.262850924,0.611245346,0.750001954
F7P1,0.28094154,0.579514919,0.679272864
F7P2,0.253340135,0.488797248,0.541395844
F8P1,0.287941504,0.577166532,0.411738789
F8P2,0.257211362,0.73099162,0.381072827
F9P1,0.196166916,0.832857824,0.540476439
F9P2,0.189839689,0.792425829,0.382023116
F9P3,0.219107398,0.638996767,0.664096082
