"","fdis_areabasal","feve_areabasal","fdiv_areabasal"
"F54P2",0.275070246999312,0.830776735039601,0.71946723636819
"F54P3",0.269928027686904,0.548716167418455,0.893230754757274
"F54P4",0.272421553536697,0.776033463353785,0.78236149529399
"F54P5",0.28705088293316,0.719438191945277,0.779783962518601
"F54P6",0.193563161491874,0.572342982871604,0.85674610452045
"F5P1",0.335050858616957,0.632085079237384,0.88154363444439
"F5P2",0.174059026573584,0.718516533948575,0.830488228926611
"F5P3",0.185476626464928,0.724447258042095,0.88252627338729
"F6P1",0.207348638421093,0.577062698760893,0.602439365128873
"F6P2",0.240613492469074,0.642194331528169,0.913591931945661
"F6P3",0.230186726727298,0.64818133375629,0.777088277171494
"F7P1",0.362937149824869,0.638345790041473,0.890352693515934
"F7P2",0.265000205611162,0.762881303204043,0.789072931587364
"F8P1",0.357833259920073,0.659936283869527,0.738426863124037
"F8P2",0.264730469778766,0.671155321307532,0.846020455429711
"F9P1",0.140402823633179,0.570053932296867,0.876841527866248
"F9P2",0.271043422382019,0.82063888713504,0.646735021812587
"F9P3",0.21432846998266,0.613390388724679,0.915462355591746
